,name,ticker,count
0,Apple Inc.,AAPL,253
64,lululemon athletica inc.,LULU,253
74,Walgreens Boots Alliance Inc.,WBA,253
73,Autodesk Inc.,ADSK,253
72,Xcel Energy Inc.,XEL,253
71,DexCom Inc.,DXCM,253
70,Baidu Inc.ADS,BIDU,253
69,Cintas Corporation,CTAS,253
68,Cadence Design Systems Inc.,CDNS,253
67,Cognizant Technology Solutions Corporation,CTSH,253
66,Synopsys Inc.,SNPS,253
65,NXP Semiconductors N.V.,NXPI,253
63,Monster Beverage Corporation,MNST,253
1,Microsoft Corporation,MSFT,253
62,CrowdStrike Holdings Inc.,CRWD,253
61,Illumina Inc.,ILMN,253
60,Exelon Corporation,EXC,253
59,Paychex Inc.,PAYX,253
58,O'Reilly Automotive Inc.,ORLY,253
57,Pinduoduo Inc.,PDD,253
56,KLA Corporation,KLAC,253
55,Marvell Technology Inc.,MRVL,253
54,Fortinet Inc.,FTNT,253
53,American Electric Power Company Inc.,AEP,253
75,Datadog Inc.,DDOG,253
76,IDEXX Laboratories Inc.,IDXX,253
77,Dollar Tree Inc.,DLTR,253
78,Microchip Technology Incorporated,MCHP,253
100,Skyworks Solutions Inc.,SWKS,253
98,Splunk Inc.,SPLK,253
97,Okta Inc.,OKTA,253
96,Match Group Inc.,MTCH,253
95,VeriSign Inc.,VRSN,253
94,ANSYS Inc.,ANSS,253
93,Sirius XM Holdings Inc.,SIRI,253
92,Seagen Inc.,SGEN,253
91,Copart Inc.(DE),CPRT,253
90,Align Technology Inc.,ALGN,253
89,Zscaler Inc.,ZS,253
88,Zoom Video Communications Inc.,ZM,253
87,PACCAR Inc.,PCAR,253
86,eBay Inc.,EBAY,253
85,Lucid Group Inc.,LCID,253
84,Biogen Inc.,BIIB,253
83,Old Dominion Freight Line Inc.,ODFL,253
82,Fastenal Company,FAST,253
81,Verisk Analytics Inc.,VRSK,253
80,Electronic Arts Inc.,EA,253
79,Ross Stores Inc.,ROST,253
52,MercadoLibre Inc.,MELI,253
51,Workday Inc.,WDAY,253
50,The Kraft Heinz Company,KHC,253
13,AstraZeneca PLC,AZN,253
23,Honeywell International Inc.,HON,253
22,Amgen Inc.,AMGN,253
21,Advanced Micro Devices Inc.,AMD,253
20,QUALCOMM Incorporated,QCOM,253
19,Texas Instruments Incorporated,TXN,253
18,T-Mobile US Inc.,TMUS,253
17,Intel Corporation,INTC,253
16,Adobe Inc.,ADBE,253
15,Comcast Corporation,CMCSA,253
14,Cisco Systems Inc.(DE),CSCO,253
12,ASML Holding N.V. New York Registry Shares,ASML,253
49,Keurig Dr Pepper Inc.,KDP,253
11,Broadcom Inc.,AVGO,253
10,NetEase Inc.,NTES,253
9,PepsiCo Inc.,PEP,253
8,Costco Wholesale Corporation,COST,253
7,NVIDIA Corporation,NVDA,253
6,Meta Platforms Inc.,FB,253
5,Tesla Inc.,TSLA,253
4,Amazon.com Inc.,AMZN,253
3,Alphabet Inc.,GOOGL,253
2,Alphabet Inc.,GOOG,253
24,Intuit Inc.,INTU,253
25,Charter Communications Inc.New,CHTR,253
26,Applied Materials Inc.,AMAT,253
27,PayPal Holdings Inc.,PYPL,253
48,Palo Alto Networks Inc.,PANW,253
47,Moderna Inc.,MRNA,253
46,Marriott International,MAR,253
45,Activision Blizzard Inc.,ATVI,253
44,Atlassian Corporation Plc  Ordinary Shares,TEAM,253
43,Lam Research Corporation,LRCX,253
42,Fiserv Inc.,FISV,253
41,Vertex Pharmaceuticals Incorporated,VRTX,253
40,Regeneron Pharmaceuticals Inc.,REGN,253
39,Micron Technology Inc.,MU,253
38,CSX Corporation,CSX,253
37,Gilead Sciences Inc.,GILD,253
36,Analog Devices Inc.,ADI,253
35,Netflix Inc.,NFLX,253
34,Intuitive Surgical Inc.,ISRG,253
33,Starbucks Corporation,SBUX,253
32,Mondelez International Inc.,MDLZ,253
31,JD.com Inc.,JD,253
30,Airbnb Inc.,ABNB,253
29,Booking Holdings Inc.,BKNG,253
28,Automatic Data Processing Inc.,ADP,253
101,DocuSign Inc.,DOCU,253
99,Constellation Energy Corporation,CEG,0
