,tester,correction,sample_size,ntests,bp,th,EP,EN,slvl,nrepeats,FP,TP,TN,FN,P(FP=0),P(FN=0)
0,kendall,None,200,435,1,0.2,80,355,0.1,300,2.6766666666666667,31.34,352.3233333333333,48.66,0.25666666666666665,0.0
1,kendall,None,200,435,1,0.4,259,176,0.1,300,1.81,175.11666666666667,174.19,83.88333333333334,0.34,0.0
2,kendall,None,200,435,1,0.6,380,55,0.1,300,0.5866666666666667,332.38666666666666,54.413333333333334,47.61333333333334,0.6533333333333333,0.0
0,kendall,None,200,406,1,0.2,71,335,0.1,300,2.7333333333333334,29.7,332.26666666666665,41.3,0.29,0.0
1,kendall,None,200,406,1,0.4,234,172,0.1,300,1.5733333333333333,158.39333333333335,170.42666666666668,75.60666666666667,0.37,0.0
2,kendall,None,200,406,1,0.6,351,55,0.1,300,0.56,303.36,54.44,47.64,0.6766666666666666,0.0
0,kendall,None,200,378,1,0.2,65,313,0.1,300,2.1433333333333335,27.196666666666665,310.8566666666667,37.803333333333335,0.30666666666666664,0.0
1,kendall,None,200,378,1,0.4,213,165,0.1,300,1.69,144.40666666666667,163.31,68.59333333333333,0.4033333333333333,0.0
2,kendall,None,200,378,1,0.6,323,55,0.1,300,0.8,278.5133333333333,54.2,44.486666666666665,0.6266666666666667,0.0
0,kendall,None,200,351,1,0.2,62,289,0.1,300,1.9066666666666667,24.736666666666668,287.0933333333333,37.263333333333335,0.4266666666666667,0.0
1,kendall,None,200,351,1,0.4,204,147,0.1,300,1.6666666666666667,137.13666666666666,145.33333333333334,66.86333333333333,0.4066666666666667,0.0
2,kendall,None,200,351,1,0.6,305,46,0.1,300,0.49,263.7733333333333,45.51,41.22666666666667,0.71,0.0
0,kendall,None,200,325,1,0.2,59,266,0.1,300,1.8033333333333332,24.38,264.19666666666666,34.62,0.38,0.0
1,kendall,None,200,325,1,0.4,193,132,0.1,300,1.5566666666666666,128.80333333333334,130.44333333333333,64.19666666666667,0.35,0.0
2,kendall,None,200,325,1,0.6,287,38,0.1,300,0.35333333333333333,248.09666666666666,37.64666666666667,38.903333333333336,0.79,0.0
0,kendall,None,200,300,1,0.2,54,246,0.1,300,1.5466666666666666,23.04,244.45333333333335,30.96,0.39,0.0
1,kendall,None,200,300,1,0.4,170,130,0.1,300,1.6666666666666667,115.69,128.33333333333334,54.31,0.3566666666666667,0.0
2,kendall,None,200,300,1,0.6,263,37,0.1,300,0.36666666666666664,224.69333333333333,36.63333333333333,38.306666666666665,0.7666666666666667,0.0
0,kendall,None,200,276,1,0.2,52,224,0.1,300,1.5033333333333334,22.60333333333333,222.49666666666667,29.39666666666667,0.42,0.0
1,kendall,None,200,276,1,0.4,163,113,0.1,300,1.2633333333333334,108.33333333333333,111.73666666666666,54.666666666666664,0.42333333333333334,0.0
2,kendall,None,200,276,1,0.6,245,31,0.1,300,0.3,211.74,30.7,33.26,0.8,0.0
0,kendall,None,200,253,1,0.2,44,209,0.1,300,1.2866666666666666,17.89,207.71333333333334,26.11,0.3933333333333333,0.0
