,tester,correction,sample_size,ntests,bp,th,EP,EN,slvl,nrepeats,FP,TP,TN,FN,P(FP=0),P(FN=0)
0,kendall,benjamini,200,435,1,0.2,80,355,0.1,300,0.043333333333333335,4.553333333333334,354.95666666666665,75.44666666666667,0.9666666666666667,0.0
1,kendall,benjamini,200,435,1,0.4,259,176,0.1,300,0.58,141.73333333333332,175.42,117.26666666666667,0.71,0.0
2,kendall,benjamini,200,435,1,0.6,380,55,0.1,300,0.53,327.75666666666666,54.47,52.24333333333333,0.7333333333333333,0.0
0,kendall,benjamini,200,406,1,0.2,71,335,0.1,300,0.09666666666666666,4.996666666666667,334.9033333333333,66.00333333333333,0.9466666666666667,0.0
1,kendall,benjamini,200,406,1,0.4,234,172,0.1,300,0.5833333333333334,129.57333333333332,171.41666666666666,104.42666666666666,0.7233333333333334,0.0
2,kendall,benjamini,200,406,1,0.6,351,55,0.1,300,0.49333333333333335,298.03,54.50666666666667,52.97,0.7633333333333333,0.0
0,kendall,benjamini,200,378,1,0.2,65,313,0.1,300,0.03,4.336666666666667,312.97,60.663333333333334,0.9766666666666667,0.0
1,kendall,benjamini,200,378,1,0.4,213,165,0.1,300,0.4866666666666667,115.44666666666667,164.51333333333332,97.55333333333333,0.7233333333333334,0.0
2,kendall,benjamini,200,378,1,0.6,323,55,0.1,300,0.49666666666666665,274.21666666666664,54.50333333333333,48.78333333333333,0.7366666666666667,0.0
0,kendall,benjamini,200,351,1,0.2,62,289,0.1,300,0.006666666666666667,4.046666666666667,288.99333333333334,57.95333333333333,0.9933333333333333,0.0
1,kendall,benjamini,200,351,1,0.4,204,147,0.1,300,0.38,107.31666666666666,146.62,96.68333333333334,0.7733333333333333,0.0
2,kendall,benjamini,200,351,1,0.6,305,46,0.1,300,0.45666666666666667,259.98333333333335,45.54333333333334,45.016666666666666,0.7633333333333333,0.0
0,kendall,benjamini,200,325,1,0.2,59,266,0.1,300,0.09333333333333334,4.653333333333333,265.9066666666667,54.346666666666664,0.9566666666666667,0.0
1,kendall,benjamini,200,325,1,0.4,193,132,0.1,300,0.5033333333333333,103.78333333333333,131.49666666666667,89.21666666666667,0.7133333333333334,0.0
2,kendall,benjamini,200,325,1,0.6,287,38,0.1,300,0.25666666666666665,244.53,37.74333333333333,42.47,0.8333333333333334,0.0
0,kendall,benjamini,200,300,1,0.2,54,246,0.1,300,0.03,4.15,245.97,49.85,0.97,0.0
1,kendall,benjamini,200,300,1,0.4,170,130,0.1,300,0.35333333333333333,91.50666666666666,129.64666666666668,78.49333333333334,0.7833333333333333,0.0
2,kendall,benjamini,200,300,1,0.6,263,37,0.1,300,0.23333333333333334,218.96666666666667,36.766666666666666,44.03333333333333,0.8433333333333334,0.0
0,kendall,benjamini,200,276,1,0.2,52,224,0.1,300,0.03333333333333333,4.273333333333333,223.96666666666667,47.72666666666667,0.97,0.0
1,kendall,benjamini,200,276,1,0.4,163,113,0.1,300,0.42333333333333334,91.06333333333333,112.57666666666667,71.93666666666667,0.73,0.0
2,kendall,benjamini,200,276,1,0.6,245,31,0.1,300,0.28,208.28666666666666,30.72,36.71333333333333,0.8166666666666667,0.0
0,kendall,benjamini,200,253,1,0.2,44,209,0.1,300,0.05,3.1266666666666665,208.95,40.873333333333335,0.9666666666666667,0.0
1,kendall,benjamini,200,253,1,0.4,142,111,0.1,300,0.29333333333333333,72.19666666666667,110.70666666666666,69.80333333333333,0.8133333333333334,0.0
2,kendall,benjamini,200,253,1,0.6,222,31,0.1,300,0.21,183.84666666666666,30.79,38.153333333333336,0.8566666666666667,0.0
0,kendall,benjamini,200,231,1,0.2,32,199,0.1,300,0.02,2.4033333333333333,198.98,29.596666666666668,0.98,0.0
1,kendall,benjamini,200,231,1,0.4,120,111,0.1,300,0.27,56.35,110.73,63.65,0.81,0.0
2,kendall,benjamini,200,231,1,0.6,200,31,0.1,300,0.21666666666666667,162.86333333333334,30.783333333333335,37.13666666666666,0.8433333333333334,0.0
0,kendall,benjamini,200,210,1,0.2,29,181,0.1,300,0.01,2.24,180.99,26.76,0.99,0.0
1,kendall,benjamini,200,210,1,0.4,112,98,0.1,300,0.21,51.7,97.79,60.3,0.87,0.0
2,kendall,benjamini,200,210,1,0.6,182,28,0.1,300,0.19333333333333333,147.50666666666666,27.80666666666667,34.49333333333333,0.86,0.0
0,kendall,benjamini,200,190,1,0.2,28,162,0.1,300,0.01,2.92,161.99,25.08,0.99,0.0
1,kendall,benjamini,200,190,1,0.4,105,85,0.1,300,0.27,49.38666666666666,84.73,55.61333333333334,0.83,0.0
2,kendall,benjamini,200,190,1,0.6,165,25,0.1,300,0.16333333333333333,137.08666666666667,24.836666666666666,27.913333333333334,0.88,0.0
0,kendall,benjamini,200,171,1,0.2,27,144,0.1,300,0.013333333333333334,2.6966666666666668,143.98666666666668,24.303333333333335,0.9866666666666667,0.0
1,kendall,benjamini,200,171,1,0.4,99,72,0.1,300,0.14666666666666667,48.24666666666667,71.85333333333334,50.75333333333333,0.8833333333333333,0.0
2,kendall,benjamini,200,171,1,0.6,150,21,0.1,300,0.18333333333333332,126.38333333333334,20.816666666666666,23.616666666666667,0.8766666666666667,0.0
0,kendall,benjamini,200,153,1,0.2,24,129,0.1,300,0.016666666666666666,2.703333333333333,128.98333333333332,21.296666666666667,0.9833333333333333,0.0
1,kendall,benjamini,200,153,1,0.4,84,69,0.1,300,0.16,42.28,68.84,41.72,0.8833333333333333,0.0
