,tester,correction,sample_size,ntests,bp,th,EP,EN,slvl,nrepeats,FP,TP,TN,FN,P(FP=0),P(FN=0)
0,kendall,bonferroni,200,435,1,0.2,80,355,0.1,300,0.006666666666666667,2.5866666666666664,354.99333333333334,77.41333333333333,0.9933333333333333,0.0
1,kendall,bonferroni,200,435,1,0.4,259,176,0.1,300,0.0033333333333333335,66.19,175.99666666666667,192.81,0.9966666666666667,0.0
2,kendall,bonferroni,200,435,1,0.6,380,55,0.1,300,0.0,242.33,55.0,137.67,1.0,0.0
0,kendall,bonferroni,200,406,1,0.2,71,335,0.1,300,0.006666666666666667,2.55,334.99333333333334,68.45,0.9933333333333333,0.0
1,kendall,bonferroni,200,406,1,0.4,234,172,0.1,300,0.006666666666666667,58.70333333333333,171.99333333333334,175.29666666666665,0.9933333333333333,0.0
2,kendall,bonferroni,200,406,1,0.6,351,55,0.1,300,0.0,220.65666666666667,55.0,130.34333333333333,1.0,0.0
0,kendall,bonferroni,200,378,1,0.2,65,313,0.1,300,0.0,2.29,313.0,62.71,1.0,0.0
1,kendall,bonferroni,200,378,1,0.4,213,165,0.1,300,0.0,53.36333333333334,165.0,159.63666666666666,1.0,0.0
2,kendall,bonferroni,200,378,1,0.6,323,55,0.1,300,0.0,200.28,55.0,122.72,1.0,0.0
0,kendall,bonferroni,200,351,1,0.2,62,289,0.1,300,0.0,2.0833333333333335,289.0,59.916666666666664,1.0,0.0
1,kendall,bonferroni,200,351,1,0.4,204,147,0.1,300,0.0,51.03666666666667,147.0,152.96333333333334,1.0,0.0
2,kendall,bonferroni,200,351,1,0.6,305,46,0.1,300,0.0,192.78666666666666,46.0,112.21333333333334,1.0,0.0
0,kendall,bonferroni,200,325,1,0.2,59,266,0.1,300,0.006666666666666667,2.3333333333333335,265.99333333333334,56.666666666666664,0.9933333333333333,0.0
1,kendall,bonferroni,200,325,1,0.4,193,132,0.1,300,0.01,49.973333333333336,131.99,143.02666666666667,0.99,0.0
2,kendall,bonferroni,200,325,1,0.6,287,38,0.1,300,0.0,179.46666666666667,38.0,107.53333333333333,1.0,0.0
0,kendall,bonferroni,200,300,1,0.2,54,246,0.1,300,0.006666666666666667,1.8566666666666667,245.99333333333334,52.14333333333333,0.9933333333333333,0.0
1,kendall,bonferroni,200,300,1,0.4,170,130,0.1,300,0.0,43.70333333333333,130.0,126.29666666666667,1.0,0.0
