,tester,correction,sample_size,ntests,bp,th,EP,EN,slvl,nrepeats,FP,TP,TN,FN,P(FP=0),P(FN=0)
0,kendall,hochberg,200,435,1,0.2,80,355,0.1,300,0.01,2.6633333333333336,354.99,77.33666666666667,0.9933333333333333,0.0
1,kendall,hochberg,200,435,1,0.4,259,176,0.1,300,0.0,64.78333333333333,176.0,194.21666666666667,1.0,0.0
2,kendall,hochberg,200,435,1,0.6,380,55,0.1,300,0.0,243.65,55.0,136.35,1.0,0.0
0,kendall,hochberg,200,406,1,0.2,71,335,0.1,300,0.006666666666666667,2.5533333333333332,334.99333333333334,68.44666666666667,0.9933333333333333,0.0
1,kendall,hochberg,200,406,1,0.4,234,172,0.1,300,0.0,58.99666666666667,172.0,175.00333333333333,1.0,0.0
2,kendall,hochberg,200,406,1,0.6,351,55,0.1,300,0.0,221.34,55.0,129.66,1.0,0.0
0,kendall,hochberg,200,378,1,0.2,65,313,0.1,300,0.01,2.1033333333333335,312.99,62.89666666666667,0.9933333333333333,0.0
1,kendall,hochberg,200,378,1,0.4,213,165,0.1,300,0.0,54.81,165.0,158.19,1.0,0.0
2,kendall,hochberg,200,378,1,0.6,323,55,0.1,300,0.0,202.23,55.0,120.77,1.0,0.0
0,kendall,hochberg,200,351,1,0.2,62,289,0.1,300,0.0033333333333333335,1.87,288.99666666666667,60.13,0.9966666666666667,0.0
1,kendall,hochberg,200,351,1,0.4,204,147,0.1,300,0.0033333333333333335,50.95666666666666,146.99666666666667,153.04333333333332,0.9966666666666667,0.0
2,kendall,hochberg,200,351,1,0.6,305,46,0.1,300,0.0,193.86333333333334,46.0,111.13666666666667,1.0,0.0
0,kendall,hochberg,200,325,1,0.2,59,266,0.1,300,0.0033333333333333335,2.1533333333333333,265.99666666666667,56.846666666666664,0.9966666666666667,0.0
1,kendall,hochberg,200,325,1,0.4,193,132,0.1,300,0.0033333333333333335,48.67,131.99666666666667,144.33,0.9966666666666667,0.0
2,kendall,hochberg,200,325,1,0.6,287,38,0.1,300,0.0,180.97,38.0,106.03,1.0,0.0
0,kendall,hochberg,200,300,1,0.2,54,246,0.1,300,0.0033333333333333335,1.9166666666666667,245.99666666666667,52.083333333333336,0.9966666666666667,0.0
1,kendall,hochberg,200,300,1,0.4,170,130,0.1,300,0.006666666666666667,45.736666666666665,129.99333333333334,124.26333333333334,0.9933333333333333,0.0
2,kendall,hochberg,200,300,1,0.6,263,37,0.1,300,0.0,158.76333333333332,37.0,104.23666666666666,1.0,0.0
0,kendall,hochberg,200,276,1,0.2,52,224,0.1,300,0.0,2.0166666666666666,224.0,49.983333333333334,1.0,0.0
1,kendall,hochberg,200,276,1,0.4,163,113,0.1,300,0.0,43.86333333333334,113.0,119.13666666666667,1.0,0.0
2,kendall,hochberg,200,276,1,0.6,245,31,0.1,300,0.0,152.78,31.0,92.22,1.0,0.0
0,kendall,hochberg,200,253,1,0.2,44,209,0.1,300,0.0033333333333333335,1.68,208.99666666666667,42.32,0.9966666666666667,0.0
1,kendall,hochberg,200,253,1,0.4,142,111,0.1,300,0.0033333333333333335,34.56666666666667,110.99666666666667,107.43333333333334,0.9966666666666667,0.0
2,kendall,hochberg,200,253,1,0.6,222,31,0.1,300,0.0,132.81,31.0,89.19,1.0,0.0
0,kendall,hochberg,200,231,1,0.2,32,199,0.1,300,0.0033333333333333335,1.1433333333333333,198.99666666666667,30.856666666666666,0.9966666666666667,0.0
1,kendall,hochberg,200,231,1,0.4,120,111,0.1,300,0.0,27.523333333333333,111.0,92.47666666666667,1.0,0.0
2,kendall,hochberg,200,231,1,0.6,200,31,0.1,300,0.0,113.86,31.0,86.14,1.0,0.0
0,kendall,hochberg,200,210,1,0.2,29,181,0.1,300,0.0,1.2966666666666666,181.0,27.703333333333333,1.0,0.0
