,tester,correction,sample_size,ntests,bp,th,EP,EN,slvl,nrepeats,FP,TP,TN,FN,P(FP=0),P(FN=0)
0,kendall,holm,200,435,1,0.2,80,355,0.1,300,0.0033333333333333335,2.3433333333333333,354.99666666666667,77.65666666666667,0.9966666666666667,0.0
1,kendall,holm,200,435,1,0.4,259,176,0.1,300,0.006666666666666667,64.29333333333334,175.99333333333334,194.70666666666668,0.9933333333333333,0.0
2,kendall,holm,200,435,1,0.6,380,55,0.1,300,0.0033333333333333335,242.86,54.99666666666667,137.14,0.9966666666666667,0.0
0,kendall,holm,200,406,1,0.2,71,335,0.1,300,0.006666666666666667,2.45,334.99333333333334,68.55,0.9966666666666667,0.0
1,kendall,holm,200,406,1,0.4,234,172,0.1,300,0.0,59.486666666666665,172.0,174.51333333333332,1.0,0.0
2,kendall,holm,200,406,1,0.6,351,55,0.1,300,0.0,219.21,55.0,131.79,1.0,0.0
0,kendall,holm,200,378,1,0.2,65,313,0.1,300,0.0,2.183333333333333,313.0,62.81666666666667,1.0,0.0
1,kendall,holm,200,378,1,0.4,213,165,0.1,300,0.0,53.483333333333334,165.0,159.51666666666668,1.0,0.0
2,kendall,holm,200,378,1,0.6,323,55,0.1,300,0.0,200.63,55.0,122.37,1.0,0.0
0,kendall,holm,200,351,1,0.2,62,289,0.1,300,0.01,1.9966666666666666,288.99,60.00333333333333,0.9933333333333333,0.0
1,kendall,holm,200,351,1,0.4,204,147,0.1,300,0.0033333333333333335,51.01,146.99666666666667,152.99,0.9966666666666667,0.0
2,kendall,holm,200,351,1,0.6,305,46,0.1,300,0.0,190.88,46.0,114.12,1.0,0.0
0,kendall,holm,200,325,1,0.2,59,266,0.1,300,0.0,2.03,266.0,56.97,1.0,0.0
1,kendall,holm,200,325,1,0.4,193,132,0.1,300,0.0,48.62,132.0,144.38,1.0,0.0
2,kendall,holm,200,325,1,0.6,287,38,0.1,300,0.0,182.19,38.0,104.81,1.0,0.0
0,kendall,holm,200,300,1,0.2,54,246,0.1,300,0.006666666666666667,1.99,245.99333333333334,52.01,0.9933333333333333,0.0
1,kendall,holm,200,300,1,0.4,170,130,0.1,300,0.006666666666666667,45.11,129.99333333333334,124.89,0.9933333333333333,0.0
2,kendall,holm,200,300,1,0.6,263,37,0.1,300,0.0,158.66333333333333,37.0,104.33666666666667,1.0,0.0
0,kendall,holm,200,276,1,0.2,52,224,0.1,300,0.0,1.95,224.0,50.05,1.0,0.0
1,kendall,holm,200,276,1,0.4,163,113,0.1,300,0.0,42.79666666666667,113.0,120.20333333333333,1.0,0.0
2,kendall,holm,200,276,1,0.6,245,31,0.1,300,0.0,152.10666666666665,31.0,92.89333333333333,1.0,0.0
0,kendall,holm,200,253,1,0.2,44,209,0.1,300,0.0033333333333333335,1.61,208.99666666666667,42.39,0.9966666666666667,0.0
1,kendall,holm,200,253,1,0.4,142,111,0.1,300,0.0033333333333333335,35.86,110.99666666666667,106.14,0.9966666666666667,0.0
2,kendall,holm,200,253,1,0.6,222,31,0.1,300,0.0,131.25,31.0,90.75,1.0,0.0
0,kendall,holm,200,231,1,0.2,32,199,0.1,300,0.0033333333333333335,1.3333333333333333,198.99666666666667,30.666666666666668,0.9966666666666667,0.0
1,kendall,holm,200,231,1,0.4,120,111,0.1,300,0.0,27.126666666666665,111.0,92.87333333333333,1.0,0.0
2,kendall,holm,200,231,1,0.6,200,31,0.1,300,0.0,109.44,31.0,90.56,1.0,0.0
0,kendall,holm,200,210,1,0.2,29,181,0.1,300,0.0,1.3166666666666667,181.0,27.683333333333334,1.0,0.0
