,tester,correction,sample_size,ntests,bp,th,EP,EN,slvl,nrepeats,FP,TP,TN,FN,P(FP=0),P(FN=0)
0,pearson,None,200,435,1,0.2,80,355,0.1,300,15.75,57.776666666666664,339.25,22.223333333333333,0.0033333333333333335,0.0
1,pearson,None,200,435,1,0.4,259,176,0.1,300,10.623333333333333,226.47666666666666,165.37666666666667,32.52333333333333,0.01,0.0
2,pearson,None,200,435,1,0.6,380,55,0.1,300,5.53,363.7,49.47,16.3,0.11333333333333333,0.0033333333333333335
0,pearson,None,200,406,1,0.2,71,335,0.1,300,14.153333333333334,50.68666666666667,320.8466666666667,20.313333333333333,0.023333333333333334,0.0033333333333333335
1,pearson,None,200,406,1,0.4,234,172,0.1,300,10.326666666666666,205.95,161.67333333333335,28.05,0.03,0.0
2,pearson,None,200,406,1,0.6,351,55,0.1,300,5.83,335.23,49.17,15.77,0.1,0.0033333333333333335
0,pearson,None,200,378,1,0.2,65,313,0.1,300,11.86,47.306666666666665,301.14,17.69333333333333,0.016666666666666666,0.0
1,pearson,None,200,378,1,0.4,213,165,0.1,300,9.793333333333333,187.69666666666666,155.20666666666668,25.303333333333335,0.01,0.0
2,pearson,None,200,378,1,0.6,323,55,0.1,300,5.483333333333333,307.0133333333333,49.516666666666666,15.986666666666666,0.12,0.006666666666666667
0,pearson,None,200,351,1,0.2,62,289,0.1,300,11.36,45.35,277.64,16.65,0.02666666666666667,0.0
1,pearson,None,200,351,1,0.4,204,147,0.1,300,9.28,178.57333333333332,137.72,25.426666666666666,0.006666666666666667,0.0
2,pearson,None,200,351,1,0.6,305,46,0.1,300,4.59,291.06,41.41,13.94,0.14333333333333334,0.013333333333333334
0,pearson,None,200,325,1,0.2,59,266,0.1,300,10.663333333333334,43.88666666666666,255.33666666666667,15.113333333333333,0.02666666666666667,0.0
1,pearson,None,200,325,1,0.4,193,132,0.1,300,8.433333333333334,169.43,123.56666666666666,23.57,0.02,0.0
2,pearson,None,200,325,1,0.6,287,38,0.1,300,3.2066666666666666,272.12666666666667,34.79333333333334,14.873333333333333,0.18666666666666668,0.006666666666666667
0,pearson,None,200,300,1,0.2,54,246,0.1,300,8.753333333333334,40.29,237.24666666666667,13.71,0.023333333333333334,0.0033333333333333335
1,pearson,None,200,300,1,0.4,170,130,0.1,300,8.256666666666666,147.47,121.74333333333334,22.53,0.023333333333333334,0.0
2,pearson,None,200,300,1,0.6,263,37,0.1,300,3.25,248.67666666666668,33.75,14.323333333333334,0.17666666666666667,0.013333333333333334
0,pearson,None,200,276,1,0.2,52,224,0.1,300,7.986666666666666,38.806666666666665,216.01333333333332,13.193333333333333,0.03,0.0
1,pearson,None,200,276,1,0.4,163,113,0.1,300,6.87,140.56333333333333,106.13,22.436666666666667,0.03333333333333333,0.0
2,pearson,None,200,276,1,0.6,245,31,0.1,300,3.1266666666666665,233.1,27.873333333333335,11.9,0.19666666666666666,0.016666666666666666
0,pearson,None,200,253,1,0.2,44,209,0.1,300,6.8933333333333335,32.04333333333334,202.10666666666665,11.956666666666667,0.043333333333333335,0.0033333333333333335
1,pearson,None,200,253,1,0.4,142,111,0.1,300,6.88,121.97666666666667,104.12,20.023333333333333,0.023333333333333334,0.0
2,pearson,None,200,253,1,0.6,222,31,0.1,300,2.8366666666666664,209.83,28.163333333333334,12.17,0.21666666666666667,0.0033333333333333335
0,pearson,None,200,231,1,0.2,32,199,0.1,300,6.26,24.0,192.74,8.0,0.023333333333333334,0.013333333333333334
1,pearson,None,200,231,1,0.4,120,111,0.1,300,6.816666666666666,101.81,104.18333333333334,18.19,0.023333333333333334,0.0
2,pearson,None,200,231,1,0.6,200,31,0.1,300,3.546666666666667,188.87333333333333,27.453333333333333,11.126666666666667,0.16666666666666666,0.02
0,pearson,None,200,210,1,0.2,29,181,0.1,300,5.41,21.996666666666666,175.59,7.003333333333333,0.10666666666666667,0.02
1,pearson,None,200,210,1,0.4,112,98,0.1,300,5.516666666666667,93.34666666666666,92.48333333333333,18.653333333333332,0.05333333333333334,0.0
2,pearson,None,200,210,1,0.6,182,28,0.1,300,2.9766666666666666,171.95666666666668,25.023333333333333,10.043333333333333,0.19333333333333333,0.03333333333333333
0,pearson,None,200,190,1,0.2,28,162,0.1,300,5.32,21.316666666666666,156.68,6.683333333333334,0.056666666666666664,0.023333333333333334
1,pearson,None,200,190,1,0.4,105,85,0.1,300,5.35,88.43333333333334,79.65,16.566666666666666,0.043333333333333335,0.0033333333333333335
2,pearson,None,200,190,1,0.6,165,25,0.1,300,2.76,156.71,22.24,8.29,0.2,0.03
0,pearson,None,200,171,1,0.2,27,144,0.1,300,4.9,20.833333333333332,139.1,6.166666666666667,0.043333333333333335,0.02
1,pearson,None,200,171,1,0.4,99,72,0.1,300,4.58,84.03333333333333,67.42,14.966666666666667,0.056666666666666664,0.0
2,pearson,None,200,171,1,0.6,150,21,0.1,300,2.64,142.70333333333335,18.36,7.296666666666667,0.21666666666666667,0.016666666666666666
0,pearson,None,200,153,1,0.2,24,129,0.1,300,4.09,19.016666666666666,124.91,4.983333333333333,0.10333333333333333,0.03
1,pearson,None,200,153,1,0.4,84,69,0.1,300,4.07,71.64,64.93,12.36,0.09,0.0
2,pearson,None,200,153,1,0.6,132,21,0.1,300,2.5633333333333335,124.07,18.436666666666667,7.93,0.26666666666666666,0.013333333333333334
0,pearson,None,200,136,1,0.2,22,114,0.1,300,3.6,17.81,110.4,4.19,0.1,0.05
1,pearson,None,200,136,1,0.4,71,65,0.1,300,3.466666666666667,61.806666666666665,61.53333333333333,9.193333333333333,0.12333333333333334,0.006666666666666667
2,pearson,None,200,136,1,0.6,115,21,0.1,300,2.45,108.49666666666667,18.55,6.503333333333333,0.24333333333333335,0.08
0,pearson,None,200,120,1,0.2,21,99,0.1,300,3.55,16.96,95.45,4.04,0.1,0.06
1,pearson,None,200,120,1,0.4,67,53,0.1,300,3.0366666666666666,57.91,49.96333333333333,9.09,0.13666666666666666,0.0033333333333333335
2,pearson,None,200,120,1,0.6,106,14,0.1,300,1.6433333333333333,100.80666666666667,12.356666666666667,5.193333333333333,0.3466666666666667,0.09666666666666666
0,pearson,None,200,105,1,0.2,18,87,0.1,300,2.4366666666666665,14.516666666666667,84.56333333333333,3.4833333333333334,0.19666666666666666,0.09
1,pearson,None,200,105,1,0.4,53,52,0.1,300,2.8966666666666665,45.74666666666667,49.10333333333333,7.253333333333333,0.13333333333333333,0.013333333333333334
2,pearson,None,200,105,1,0.6,91,14,0.1,300,1.5766666666666667,85.81,12.423333333333334,5.19,0.31333333333333335,0.11333333333333333
0,pearson,None,200,91,1,0.2,15,76,0.1,300,1.93,12.523333333333333,74.07,2.4766666666666666,0.27,0.14333333333333334
1,pearson,None,200,91,1,0.4,43,48,0.1,300,2.216666666666667,37.11333333333334,45.78333333333333,5.886666666666667,0.24,0.016666666666666666
2,pearson,None,200,91,1,0.6,77,14,0.1,300,1.5933333333333333,71.43666666666667,12.406666666666666,5.5633333333333335,0.3233333333333333,0.07333333333333333
0,pearson,None,200,78,1,0.2,4,74,0.1,300,1.4166666666666667,3.5833333333333335,72.58333333333333,0.4166666666666667,0.42,0.6166666666666667
1,pearson,None,200,78,1,0.4,30,48,0.1,300,2.2933333333333334,23.94,45.70666666666666,6.06,0.22333333333333333,0.03666666666666667
2,pearson,None,200,78,1,0.6,64,14,0.1,300,1.61,58.593333333333334,12.39,5.406666666666666,0.36,0.07333333333333333
0,pearson,None,200,66,1,0.2,4,62,0.1,300,1.2133333333333334,3.49,60.78666666666667,0.51,0.4633333333333333,0.5333333333333333
1,pearson,None,200,66,1,0.4,27,39,0.1,300,1.3966666666666667,21.466666666666665,37.60333333333333,5.533333333333333,0.3466666666666667,0.04
2,pearson,None,200,66,1,0.6,54,12,0.1,300,1.4766666666666666,49.35666666666667,10.523333333333333,4.6433333333333335,0.3433333333333333,0.12
0,pearson,None,200,55,1,0.2,4,51,0.1,300,1.1033333333333333,3.5366666666666666,49.89666666666667,0.4633333333333333,0.48,0.5633333333333334
1,pearson,None,200,55,1,0.4,25,30,0.1,300,1.1633333333333333,19.55666666666667,28.836666666666666,5.443333333333333,0.36,0.023333333333333334
2,pearson,None,200,55,1,0.6,46,9,0.1,300,1.18,42.336666666666666,7.82,3.6633333333333336,0.37666666666666665,0.12666666666666668
0,pearson,None,200,45,1,0.2,2,43,0.1,300,0.21,1.52,42.79,0.48,0.8466666666666667,0.5333333333333333
1,pearson,None,200,45,1,0.4,15,30,0.1,300,1.2033333333333334,11.236666666666666,28.796666666666667,3.763333333333333,0.35333333333333333,0.10666666666666667
2,pearson,None,200,45,1,0.6,36,9,0.1,300,1.1533333333333333,32.663333333333334,7.846666666666667,3.3366666666666664,0.4033333333333333,0.17333333333333334
0,pearson,None,200,36,1,0.2,0,36,0.1,300,0.08333333333333333,0.0,35.916666666666664,0.0,0.9366666666666666,1.0
1,pearson,None,200,36,1,0.4,8,28,0.1,300,0.9166666666666666,4.8933333333333335,27.083333333333332,3.1066666666666665,0.47,0.13
2,pearson,None,200,36,1,0.6,27,9,0.1,300,1.2166666666666666,23.446666666666665,7.783333333333333,3.5533333333333332,0.41,0.16333333333333333
0,pearson,None,200,28,1,0.2,0,28,0.1,300,0.03666666666666667,0.0,27.963333333333335,0.0,0.9733333333333334,1.0
1,pearson,None,200,28,1,0.4,3,25,0.1,300,0.72,2.05,24.28,0.95,0.5633333333333334,0.5233333333333333
2,pearson,None,200,28,1,0.6,19,9,0.1,300,1.2033333333333334,15.54,7.796666666666667,3.46,0.38666666666666666,0.16
0,pearson,None,200,21,1,0.2,0,21,0.1,300,0.03333333333333333,0.0,20.966666666666665,0.0,0.9733333333333334,1.0
