,tester,correction,sample_size,ntests,bp,th,EP,EN,slvl,nrepeats,FP,TP,TN,FN,P(FP=0),P(FN=0)
0,pearson,benjamini,200,435,1,0.2,80,355,0.1,300,10.306666666666667,50.84,344.6933333333333,29.16,0.06666666666666667,0.0
1,pearson,benjamini,200,435,1,0.4,259,176,0.1,300,10.2,224.55666666666667,165.8,34.443333333333335,0.023333333333333334,0.0
2,pearson,benjamini,200,435,1,0.6,380,55,0.1,300,5.333333333333333,362.4866666666667,49.666666666666664,17.513333333333332,0.12666666666666668,0.006666666666666667
0,pearson,benjamini,200,406,1,0.2,71,335,0.1,300,10.226666666666667,46.64666666666667,324.7733333333333,24.35333333333333,0.04666666666666667,0.0
1,pearson,benjamini,200,406,1,0.4,234,172,0.1,300,8.583333333333334,200.78333333333333,163.41666666666666,33.21666666666667,0.02666666666666667,0.0
2,pearson,benjamini,200,406,1,0.6,351,55,0.1,300,5.36,334.37333333333333,49.64,16.626666666666665,0.11666666666666667,0.0033333333333333335
0,pearson,benjamini,200,378,1,0.2,65,313,0.1,300,8.866666666666667,43.32,304.1333333333333,21.68,0.04666666666666667,0.0033333333333333335
1,pearson,benjamini,200,378,1,0.4,213,165,0.1,300,8.02,183.30666666666667,156.98,29.69333333333333,0.023333333333333334,0.0
2,pearson,benjamini,200,378,1,0.6,323,55,0.1,300,5.676666666666667,307.36,49.32333333333333,15.64,0.09333333333333334,0.006666666666666667
0,pearson,benjamini,200,351,1,0.2,62,289,0.1,300,7.973333333333334,41.39,281.02666666666664,20.61,0.05,0.0
1,pearson,benjamini,200,351,1,0.4,204,147,0.1,300,7.903333333333333,175.86,139.09666666666666,28.14,0.04,0.0
2,pearson,benjamini,200,351,1,0.6,305,46,0.1,300,4.323333333333333,290.57666666666665,41.67666666666667,14.423333333333334,0.12,0.006666666666666667
0,pearson,benjamini,200,325,1,0.2,59,266,0.1,300,7.52,39.71666666666667,258.48,19.283333333333335,0.05,0.0
1,pearson,benjamini,200,325,1,0.4,193,132,0.1,300,7.62,165.89,124.38,27.11,0.016666666666666666,0.0
2,pearson,benjamini,200,325,1,0.6,287,38,0.1,300,3.3433333333333333,272.69,34.656666666666666,14.31,0.17666666666666667,0.01
0,pearson,benjamini,200,300,1,0.2,54,246,0.1,300,6.826666666666667,36.59,239.17333333333335,17.41,0.05,0.0
1,pearson,benjamini,200,300,1,0.4,170,130,0.1,300,7.57,145.46333333333334,122.43,24.536666666666665,0.03,0.0
2,pearson,benjamini,200,300,1,0.6,263,37,0.1,300,3.3233333333333333,249.11333333333334,33.67666666666667,13.886666666666667,0.17,0.013333333333333334
0,pearson,benjamini,200,276,1,0.2,52,224,0.1,300,5.756666666666667,35.23,218.24333333333334,16.77,0.07333333333333333,0.0
1,pearson,benjamini,200,276,1,0.4,163,113,0.1,300,6.5633333333333335,138.8,106.43666666666667,24.2,0.03,0.0
2,pearson,benjamini,200,276,1,0.6,245,31,0.1,300,3.07,232.96,27.93,12.04,0.19666666666666666,0.006666666666666667
0,pearson,benjamini,200,253,1,0.2,44,209,0.1,300,4.6066666666666665,28.413333333333334,204.39333333333335,15.586666666666666,0.1,0.0033333333333333335
1,pearson,benjamini,200,253,1,0.4,142,111,0.1,300,6.34,119.40666666666667,104.66,22.593333333333334,0.05,0.0
2,pearson,benjamini,200,253,1,0.6,222,31,0.1,300,2.95,209.85,28.05,12.15,0.19,0.0033333333333333335
0,pearson,benjamini,200,231,1,0.2,32,199,0.1,300,4.3966666666666665,22.136666666666667,194.60333333333332,9.863333333333333,0.12666666666666668,0.006666666666666667
1,pearson,benjamini,200,231,1,0.4,120,111,0.1,300,5.203333333333333,98.73333333333333,105.79666666666667,21.266666666666666,0.06333333333333334,0.0
2,pearson,benjamini,200,231,1,0.6,200,31,0.1,300,3.01,187.58666666666667,27.99,12.413333333333334,0.23,0.02
0,pearson,benjamini,200,210,1,0.2,29,181,0.1,300,3.6966666666666668,19.886666666666667,177.30333333333334,9.113333333333333,0.17,0.013333333333333334
1,pearson,benjamini,200,210,1,0.4,112,98,0.1,300,5.246666666666667,92.81,92.75333333333333,19.19,0.09666666666666666,0.0
2,pearson,benjamini,200,210,1,0.6,182,28,0.1,300,2.8833333333333333,170.94666666666666,25.116666666666667,11.053333333333333,0.22666666666666666,0.013333333333333334
0,pearson,benjamini,200,190,1,0.2,28,162,0.1,300,3.4466666666666668,19.39,158.55333333333334,8.61,0.15666666666666668,0.0
1,pearson,benjamini,200,190,1,0.4,105,85,0.1,300,4.756666666666667,86.43666666666667,80.24333333333334,18.563333333333333,0.09666666666666666,0.0
2,pearson,benjamini,200,190,1,0.6,165,25,0.1,300,2.75,156.36333333333334,22.25,8.636666666666667,0.25333333333333335,0.03666666666666667
0,pearson,benjamini,200,171,1,0.2,27,144,0.1,300,3.45,18.65,140.55,8.35,0.14,0.01
1,pearson,benjamini,200,171,1,0.4,99,72,0.1,300,4.093333333333334,82.17666666666666,67.90666666666667,16.823333333333334,0.1,0.0033333333333333335
2,pearson,benjamini,200,171,1,0.6,150,21,0.1,300,2.3366666666666664,141.79666666666665,18.663333333333334,8.203333333333333,0.27666666666666667,0.03666666666666667
0,pearson,benjamini,200,153,1,0.2,24,129,0.1,300,2.6666666666666665,17.27,126.33333333333333,6.73,0.19333333333333333,0.006666666666666667
1,pearson,benjamini,200,153,1,0.4,84,69,0.1,300,3.216666666666667,69.23,65.78333333333333,14.77,0.15333333333333332,0.006666666666666667
2,pearson,benjamini,200,153,1,0.6,132,21,0.1,300,2.816666666666667,124.66,18.183333333333334,7.34,0.19666666666666666,0.02666666666666667
0,pearson,benjamini,200,136,1,0.2,22,114,0.1,300,2.59,16.466666666666665,111.41,5.533333333333333,0.19,0.03333333333333333
1,pearson,benjamini,200,136,1,0.4,71,65,0.1,300,2.72,59.86333333333334,62.28,11.136666666666667,0.17333333333333334,0.0
2,pearson,benjamini,200,136,1,0.6,115,21,0.1,300,2.4066666666666667,108.12333333333333,18.593333333333334,6.876666666666667,0.21666666666666667,0.04666666666666667
0,pearson,benjamini,200,120,1,0.2,21,99,0.1,300,2.67,15.633333333333333,96.33,5.366666666666666,0.20333333333333334,0.016666666666666666
1,pearson,benjamini,200,120,1,0.4,67,53,0.1,300,2.75,57.376666666666665,50.25,9.623333333333333,0.15333333333333332,0.0033333333333333335
2,pearson,benjamini,200,120,1,0.6,106,14,0.1,300,1.5633333333333332,100.62,12.436666666666667,5.38,0.3466666666666667,0.06666666666666667
0,pearson,benjamini,200,105,1,0.2,18,87,0.1,300,1.7766666666666666,13.353333333333333,85.22333333333333,4.6466666666666665,0.2966666666666667,0.04
1,pearson,benjamini,200,105,1,0.4,53,52,0.1,300,2.39,44.7,49.61,8.3,0.23666666666666666,0.016666666666666666
