,tester,correction,sample_size,ntests,bp,th,EP,EN,slvl,nrepeats,FP,TP,TN,FN,P(FP=0),P(FN=0)
0,pearson,bonferroni,200,435,1,0.2,80,355,0.1,300,7.476666666666667,44.973333333333336,347.5233333333333,35.026666666666664,0.07333333333333333,0.0
1,pearson,bonferroni,200,435,1,0.4,259,176,0.1,300,5.153333333333333,205.35666666666665,170.84666666666666,53.64333333333333,0.07666666666666666,0.0
2,pearson,bonferroni,200,435,1,0.6,380,55,0.1,300,2.46,353.57666666666665,52.54,26.423333333333332,0.29,0.0
0,pearson,bonferroni,200,406,1,0.2,71,335,0.1,300,5.86,40.21666666666667,329.14,30.783333333333335,0.1,0.0
1,pearson,bonferroni,200,406,1,0.4,234,172,0.1,300,4.636666666666667,187.03333333333333,167.36333333333334,46.96666666666667,0.13,0.0
2,pearson,bonferroni,200,406,1,0.6,351,55,0.1,300,2.316666666666667,323.97,52.68333333333333,27.03,0.31,0.0
0,pearson,bonferroni,200,378,1,0.2,65,313,0.1,300,5.35,37.843333333333334,307.65,27.156666666666666,0.12333333333333334,0.0
1,pearson,bonferroni,200,378,1,0.4,213,165,0.1,300,4.296666666666667,170.13666666666666,160.70333333333335,42.86333333333334,0.13333333333333333,0.0
2,pearson,bonferroni,200,378,1,0.6,323,55,0.1,300,2.71,297.86,52.29,25.14,0.2633333333333333,0.0
0,pearson,bonferroni,200,351,1,0.2,62,289,0.1,300,5.206666666666667,37.45333333333333,283.79333333333335,24.546666666666667,0.12,0.0
1,pearson,bonferroni,200,351,1,0.4,204,147,0.1,300,4.203333333333333,162.04333333333332,142.79666666666665,41.95666666666666,0.11666666666666667,0.0
2,pearson,bonferroni,200,351,1,0.6,305,46,0.1,300,2.1866666666666665,281.70666666666665,43.81333333333333,23.293333333333333,0.3333333333333333,0.006666666666666667
0,pearson,bonferroni,200,325,1,0.2,59,266,0.1,300,4.943333333333333,35.406666666666666,261.0566666666667,23.593333333333334,0.11666666666666667,0.0
1,pearson,bonferroni,200,325,1,0.4,193,132,0.1,300,3.6233333333333335,152.64333333333335,128.37666666666667,40.35666666666667,0.11333333333333333,0.0
2,pearson,bonferroni,200,325,1,0.6,287,38,0.1,300,1.5733333333333333,264.37666666666667,36.42666666666667,22.623333333333335,0.41333333333333333,0.0
0,pearson,bonferroni,200,300,1,0.2,54,246,0.1,300,3.7266666666666666,31.7,242.27333333333334,22.3,0.15,0.0
1,pearson,bonferroni,200,300,1,0.4,170,130,0.1,300,3.7,134.56666666666666,126.3,35.43333333333333,0.14333333333333334,0.0
2,pearson,bonferroni,200,300,1,0.6,263,37,0.1,300,1.5466666666666666,239.87333333333333,35.45333333333333,23.126666666666665,0.43333333333333335,0.0
0,pearson,bonferroni,200,276,1,0.2,52,224,0.1,300,3.756666666666667,31.04,220.24333333333334,20.96,0.14,0.0
1,pearson,bonferroni,200,276,1,0.4,163,113,0.1,300,3.1,126.99,109.9,36.01,0.16333333333333333,0.0
2,pearson,bonferroni,200,276,1,0.6,245,31,0.1,300,1.2833333333333334,225.03666666666666,29.716666666666665,19.963333333333335,0.4533333333333333,0.0
0,pearson,bonferroni,200,253,1,0.2,44,209,0.1,300,2.816666666666667,24.733333333333334,206.18333333333334,19.266666666666666,0.19,0.0
1,pearson,bonferroni,200,253,1,0.4,142,111,0.1,300,2.756666666666667,108.48,108.24333333333334,33.52,0.16666666666666666,0.0
2,pearson,bonferroni,200,253,1,0.6,222,31,0.1,300,1.3533333333333333,202.98666666666668,29.64666666666667,19.013333333333332,0.4666666666666667,0.0
0,pearson,bonferroni,200,231,1,0.2,32,199,0.1,300,2.6333333333333333,19.003333333333334,196.36666666666667,12.996666666666666,0.25666666666666665,0.0033333333333333335
1,pearson,bonferroni,200,231,1,0.4,120,111,0.1,300,3.1633333333333336,90.80666666666667,107.83666666666667,29.19333333333333,0.18,0.0
2,pearson,bonferroni,200,231,1,0.6,200,31,0.1,300,1.6166666666666667,181.24333333333334,29.383333333333333,18.756666666666668,0.4,0.006666666666666667
0,pearson,bonferroni,200,210,1,0.2,29,181,0.1,300,2.4066666666666667,17.953333333333333,178.59333333333333,11.046666666666667,0.23,0.0033333333333333335
1,pearson,bonferroni,200,210,1,0.4,112,98,0.1,300,2.6433333333333335,82.9,95.35666666666667,29.1,0.25333333333333335,0.0
2,pearson,bonferroni,200,210,1,0.6,182,28,0.1,300,1.23,164.51,26.77,17.49,0.44666666666666666,0.0033333333333333335
