,tester,correction,sample_size,ntests,bp,th,EP,EN,slvl,nrepeats,FP,TP,TN,FN,P(FP=0),P(FN=0)
0,pearson,hochberg,200,435,1,0.2,80,355,0.1,300,6.863333333333333,44.93333333333333,348.13666666666666,35.06666666666667,0.09333333333333334,0.0
1,pearson,hochberg,200,435,1,0.4,259,176,0.1,300,4.863333333333333,205.38333333333333,171.13666666666666,53.61666666666667,0.11333333333333333,0.0
2,pearson,hochberg,200,435,1,0.6,380,55,0.1,300,3.32,353.97333333333336,51.68,26.026666666666667,0.24333333333333335,0.0
0,pearson,hochberg,200,406,1,0.2,71,335,0.1,300,6.523333333333333,40.906666666666666,328.4766666666667,30.093333333333334,0.08333333333333333,0.0
1,pearson,hochberg,200,406,1,0.4,234,172,0.1,300,4.6433333333333335,188.27666666666667,167.35666666666665,45.723333333333336,0.11666666666666667,0.0
2,pearson,hochberg,200,406,1,0.6,351,55,0.1,300,2.98,327.8066666666667,52.02,23.19333333333333,0.22666666666666666,0.0
0,pearson,hochberg,200,378,1,0.2,65,313,0.1,300,5.276666666666666,38.11333333333334,307.72333333333336,26.886666666666667,0.09333333333333334,0.0
1,pearson,hochberg,200,378,1,0.4,213,165,0.1,300,4.05,169.25,160.95,43.75,0.10666666666666667,0.0
2,pearson,hochberg,200,378,1,0.6,323,55,0.1,300,3.203333333333333,299.2133333333333,51.79666666666667,23.786666666666665,0.25,0.0
0,pearson,hochberg,200,351,1,0.2,62,289,0.1,300,4.8133333333333335,36.03666666666667,284.18666666666667,25.963333333333335,0.13666666666666666,0.0
1,pearson,hochberg,200,351,1,0.4,204,147,0.1,300,3.993333333333333,161.50333333333333,143.00666666666666,42.49666666666667,0.12,0.0
2,pearson,hochberg,200,351,1,0.6,305,46,0.1,300,2.4566666666666666,283.3833333333333,43.54333333333334,21.616666666666667,0.31,0.0
0,pearson,hochberg,200,325,1,0.2,59,266,0.1,300,4.55,34.52,261.45,24.48,0.13333333333333333,0.0
1,pearson,hochberg,200,325,1,0.4,193,132,0.1,300,3.6466666666666665,152.61333333333334,128.35333333333332,40.38666666666666,0.11333333333333333,0.0
2,pearson,hochberg,200,325,1,0.6,287,38,0.1,300,1.9333333333333333,266.1766666666667,36.06666666666667,20.823333333333334,0.38333333333333336,0.0033333333333333335
0,pearson,hochberg,200,300,1,0.2,54,246,0.1,300,3.8466666666666667,32.43333333333333,242.15333333333334,21.566666666666666,0.15666666666666668,0.0
1,pearson,hochberg,200,300,1,0.4,170,130,0.1,300,3.5733333333333333,134.54666666666665,126.42666666666666,35.45333333333333,0.12333333333333334,0.0
2,pearson,hochberg,200,300,1,0.6,263,37,0.1,300,1.9366666666666668,243.11,35.06333333333333,19.89,0.3466666666666667,0.0033333333333333335
0,pearson,hochberg,200,276,1,0.2,52,224,0.1,300,3.6966666666666668,31.793333333333333,220.30333333333334,20.206666666666667,0.14333333333333334,0.0
1,pearson,hochberg,200,276,1,0.4,163,113,0.1,300,3.1133333333333333,127.14333333333333,109.88666666666667,35.85666666666667,0.15666666666666668,0.0
2,pearson,hochberg,200,276,1,0.6,245,31,0.1,300,1.7433333333333334,228.1,29.256666666666668,16.9,0.35,0.006666666666666667
0,pearson,hochberg,200,253,1,0.2,44,209,0.1,300,2.953333333333333,25.296666666666667,206.04666666666665,18.703333333333333,0.19,0.0
1,pearson,hochberg,200,253,1,0.4,142,111,0.1,300,2.99,109.31333333333333,108.01,32.68666666666667,0.16333333333333333,0.0
2,pearson,hochberg,200,253,1,0.6,222,31,0.1,300,1.8266666666666667,204.89666666666668,29.173333333333332,17.10333333333333,0.38,0.0
0,pearson,hochberg,200,231,1,0.2,32,199,0.1,300,2.66,19.42,196.34,12.58,0.19333333333333333,0.0
1,pearson,hochberg,200,231,1,0.4,120,111,0.1,300,2.91,90.40333333333334,108.09,29.596666666666668,0.17333333333333334,0.0
2,pearson,hochberg,200,231,1,0.6,200,31,0.1,300,1.87,183.56666666666666,29.13,16.433333333333334,0.35333333333333333,0.0033333333333333335
0,pearson,hochberg,200,210,1,0.2,29,181,0.1,300,2.36,17.67,178.64,11.33,0.31,0.0033333333333333335
1,pearson,hochberg,200,210,1,0.4,112,98,0.1,300,2.6433333333333335,84.29333333333334,95.35666666666667,27.706666666666667,0.20666666666666667,0.0
2,pearson,hochberg,200,210,1,0.6,182,28,0.1,300,1.63,166.86,26.37,15.14,0.37333333333333335,0.0033333333333333335
0,pearson,hochberg,200,190,1,0.2,28,162,0.1,300,1.9466666666666668,17.006666666666668,160.05333333333334,10.993333333333334,0.28,0.0
1,pearson,hochberg,200,190,1,0.4,105,85,0.1,300,2.65,79.23666666666666,82.35,25.763333333333332,0.24,0.0
2,pearson,hochberg,200,190,1,0.6,165,25,0.1,300,1.7566666666666666,153.31,23.243333333333332,11.69,0.37,0.006666666666666667
0,pearson,hochberg,200,171,1,0.2,27,144,0.1,300,2.02,16.73,141.98,10.27,0.29,0.0
1,pearson,hochberg,200,171,1,0.4,99,72,0.1,300,2.27,75.03666666666666,69.73,23.963333333333335,0.24,0.0
2,pearson,hochberg,200,171,1,0.6,150,21,0.1,300,1.35,138.76,19.65,11.24,0.4033333333333333,0.006666666666666667
0,pearson,hochberg,200,153,1,0.2,24,129,0.1,300,1.9366666666666668,15.736666666666666,127.06333333333333,8.263333333333334,0.29,0.0033333333333333335
1,pearson,hochberg,200,153,1,0.4,84,69,0.1,300,2.11,65.29666666666667,66.89,18.703333333333333,0.28,0.0
2,pearson,hochberg,200,153,1,0.6,132,21,0.1,300,1.5866666666666667,121.97666666666667,19.413333333333334,10.023333333333333,0.36,0.01
0,pearson,hochberg,200,136,1,0.2,22,114,0.1,300,1.6533333333333333,14.733333333333333,112.34666666666666,7.266666666666667,0.35,0.01
1,pearson,hochberg,200,136,1,0.4,71,65,0.1,300,1.7266666666666666,56.54333333333334,63.27333333333333,14.456666666666667,0.32,0.0033333333333333335
