,tester,correction,sample_size,ntests,bp,th,EP,EN,slvl,nrepeats,FP,TP,TN,FN,P(FP=0),P(FN=0)
0,pearson,holm,200,435,1,0.2,80,355,0.1,300,6.3133333333333335,44.81666666666667,348.68666666666667,35.18333333333333,0.07,0.0
1,pearson,holm,200,435,1,0.4,259,176,0.1,300,5.276666666666666,205.81,170.72333333333333,53.19,0.10333333333333333,0.0
2,pearson,holm,200,435,1,0.6,380,55,0.1,300,3.2066666666666666,355.9433333333333,51.79333333333334,24.05666666666667,0.21333333333333335,0.0
0,pearson,holm,200,406,1,0.2,71,335,0.1,300,6.286666666666667,40.81666666666667,328.7133333333333,30.183333333333334,0.07,0.0
1,pearson,holm,200,406,1,0.4,234,172,0.1,300,4.596666666666667,187.36,167.40333333333334,46.64,0.07666666666666666,0.0
2,pearson,holm,200,406,1,0.6,351,55,0.1,300,2.953333333333333,325.72,52.04666666666667,25.28,0.27,0.0
0,pearson,holm,200,378,1,0.2,65,313,0.1,300,5.413333333333333,38.93666666666667,307.58666666666664,26.063333333333333,0.10666666666666667,0.0
1,pearson,holm,200,378,1,0.4,213,165,0.1,300,4.433333333333334,170.3,160.56666666666666,42.7,0.1,0.0
2,pearson,holm,200,378,1,0.6,323,55,0.1,300,3.0433333333333334,299.20666666666665,51.95666666666666,23.793333333333333,0.25666666666666665,0.0
0,pearson,holm,200,351,1,0.2,62,289,0.1,300,4.466666666666667,35.79666666666667,284.53333333333336,26.203333333333333,0.12666666666666668,0.0
1,pearson,holm,200,351,1,0.4,204,147,0.1,300,4.003333333333333,160.24333333333334,142.99666666666667,43.75666666666667,0.11666666666666667,0.0
2,pearson,holm,200,351,1,0.6,305,46,0.1,300,2.5433333333333334,283.3466666666667,43.45666666666666,21.653333333333332,0.27,0.0033333333333333335
0,pearson,holm,200,325,1,0.2,59,266,0.1,300,4.556666666666667,34.35,261.4433333333333,24.65,0.10666666666666667,0.0
1,pearson,holm,200,325,1,0.4,193,132,0.1,300,4.056666666666667,153.05,127.94333333333333,39.95,0.11333333333333333,0.0
2,pearson,holm,200,325,1,0.6,287,38,0.1,300,2.1766666666666667,267.10333333333335,35.82333333333333,19.89666666666667,0.36333333333333334,0.0
0,pearson,holm,200,300,1,0.2,54,246,0.1,300,4.413333333333333,32.973333333333336,241.58666666666667,21.026666666666667,0.15,0.0
1,pearson,holm,200,300,1,0.4,170,130,0.1,300,3.8766666666666665,133.22333333333333,126.12333333333333,36.776666666666664,0.13333333333333333,0.0
2,pearson,holm,200,300,1,0.6,263,37,0.1,300,1.6966666666666668,241.59,35.303333333333335,21.41,0.4033333333333333,0.0
0,pearson,holm,200,276,1,0.2,52,224,0.1,300,3.6233333333333335,32.343333333333334,220.37666666666667,19.656666666666666,0.14,0.0
1,pearson,holm,200,276,1,0.4,163,113,0.1,300,3.6,129.27,109.4,33.73,0.16,0.0
2,pearson,holm,200,276,1,0.6,245,31,0.1,300,1.5333333333333334,227.36,29.466666666666665,17.64,0.42,0.0
0,pearson,holm,200,253,1,0.2,44,209,0.1,300,3.0633333333333335,25.543333333333333,205.93666666666667,18.456666666666667,0.22,0.0
1,pearson,holm,200,253,1,0.4,142,111,0.1,300,3.1166666666666667,109.78333333333333,107.88333333333334,32.21666666666667,0.19,0.0
2,pearson,holm,200,253,1,0.6,222,31,0.1,300,1.54,204.52,29.46,17.48,0.38666666666666666,0.0
0,pearson,holm,200,231,1,0.2,32,199,0.1,300,2.4833333333333334,19.08,196.51666666666668,12.92,0.26,0.0
1,pearson,holm,200,231,1,0.4,120,111,0.1,300,3.2066666666666666,90.44,107.79333333333334,29.56,0.17,0.0033333333333333335
2,pearson,holm,200,231,1,0.6,200,31,0.1,300,1.6566666666666667,182.17666666666668,29.343333333333334,17.823333333333334,0.39666666666666667,0.0
0,pearson,holm,200,210,1,0.2,29,181,0.1,300,2.43,17.466666666666665,178.57,11.533333333333333,0.28,0.0
1,pearson,holm,200,210,1,0.4,112,98,0.1,300,2.6066666666666665,84.14333333333333,95.39333333333333,27.856666666666666,0.21666666666666667,0.0
2,pearson,holm,200,210,1,0.6,182,28,0.1,300,1.78,167.29,26.22,14.71,0.37,0.0
0,pearson,holm,200,190,1,0.2,28,162,0.1,300,2.256666666666667,17.42,159.74333333333334,10.58,0.25,0.0033333333333333335
1,pearson,holm,200,190,1,0.4,105,85,0.1,300,2.6866666666666665,78.03333333333333,82.31333333333333,26.966666666666665,0.28,0.0
2,pearson,holm,200,190,1,0.6,165,25,0.1,300,1.5633333333333332,152.81666666666666,23.436666666666667,12.183333333333334,0.44,0.013333333333333334
0,pearson,holm,200,171,1,0.2,27,144,0.1,300,2.1333333333333333,16.926666666666666,141.86666666666667,10.073333333333334,0.26,0.0
1,pearson,holm,200,171,1,0.4,99,72,0.1,300,2.533333333333333,76.49,69.46666666666667,22.51,0.24666666666666667,0.0
2,pearson,holm,200,171,1,0.6,150,21,0.1,300,1.67,139.55,19.33,10.45,0.37333333333333335,0.006666666666666667
0,pearson,holm,200,153,1,0.2,24,129,0.1,300,1.95,15.423333333333334,127.05,8.576666666666666,0.29,0.006666666666666667
1,pearson,holm,200,153,1,0.4,84,69,0.1,300,2.15,65.66333333333333,66.85,18.336666666666666,0.26,0.0
2,pearson,holm,200,153,1,0.6,132,21,0.1,300,1.78,121.91,19.22,10.09,0.36666666666666664,0.016666666666666666
0,pearson,holm,200,136,1,0.2,22,114,0.1,300,1.3966666666666667,14.896666666666667,112.60333333333334,7.1033333333333335,0.31666666666666665,0.006666666666666667
1,pearson,holm,200,136,1,0.4,71,65,0.1,300,1.6733333333333333,56.263333333333335,63.32666666666667,14.736666666666666,0.28,0.0
2,pearson,holm,200,136,1,0.6,115,21,0.1,300,1.49,105.74333333333334,19.51,9.256666666666666,0.3933333333333333,0.01
0,pearson,holm,200,120,1,0.2,21,99,0.1,300,1.7166666666666666,14.423333333333334,97.28333333333333,6.576666666666667,0.32,0.013333333333333334
1,pearson,holm,200,120,1,0.4,67,53,0.1,300,1.61,53.71,51.39,13.29,0.33,0.0
2,pearson,holm,200,120,1,0.6,106,14,0.1,300,0.9533333333333334,98.38333333333334,13.046666666666667,7.616666666666666,0.5466666666666666,0.04
0,pearson,holm,200,105,1,0.2,18,87,0.1,300,1.0133333333333334,12.95,85.98666666666666,5.05,0.4866666666666667,0.016666666666666666
1,pearson,holm,200,105,1,0.4,53,52,0.1,300,1.54,42.21666666666667,50.46,10.783333333333333,0.36,0.0
2,pearson,holm,200,105,1,0.6,91,14,0.1,300,0.89,83.33,13.11,7.67,0.5533333333333333,0.04
0,pearson,holm,200,91,1,0.2,15,76,0.1,300,0.9633333333333334,10.723333333333333,75.03666666666666,4.276666666666666,0.5233333333333333,0.056666666666666664
1,pearson,holm,200,91,1,0.4,43,48,0.1,300,1.0866666666666667,33.82333333333333,46.913333333333334,9.176666666666666,0.44333333333333336,0.006666666666666667
2,pearson,holm,200,91,1,0.6,77,14,0.1,300,0.9166666666666666,69.33333333333333,13.083333333333334,7.666666666666667,0.5366666666666666,0.03333333333333333
0,pearson,holm,200,78,1,0.2,4,74,0.1,300,0.7166666666666667,3.21,73.28333333333333,0.79,0.6433333333333333,0.3566666666666667
1,pearson,holm,200,78,1,0.4,30,48,0.1,300,1.24,21.4,46.76,8.6,0.37666666666666665,0.016666666666666666
2,pearson,holm,200,78,1,0.6,64,14,0.1,300,1.0766666666666667,56.79333333333334,12.923333333333334,7.206666666666667,0.5033333333333333,0.05333333333333334
0,pearson,holm,200,66,1,0.2,4,62,0.1,300,0.5266666666666666,3.236666666666667,61.473333333333336,0.7633333333333333,0.6833333333333333,0.36666666666666664
1,pearson,holm,200,66,1,0.4,27,39,0.1,300,0.79,19.0,38.21,8.0,0.5666666666666667,0.0033333333333333335
2,pearson,holm,200,66,1,0.6,54,12,0.1,300,0.94,47.77,11.06,6.23,0.49,0.07333333333333333
0,pearson,holm,200,55,1,0.2,4,51,0.1,300,0.49333333333333335,3.243333333333333,50.50666666666667,0.7566666666666667,0.7133333333333334,0.39666666666666667
1,pearson,holm,200,55,1,0.4,25,30,0.1,300,0.6233333333333333,17.883333333333333,29.376666666666665,7.116666666666666,0.6166666666666667,0.0033333333333333335
