,tester,correction,sample_size,ntests,bp,th,EP,EN,slvl,nrepeats,FP,TP,TN,FN,P(FP=0),P(FN=0)
0,sign,None,200,435,1,0.2,80,355,0.1,300,4.34,22.113333333333333,350.66,57.88666666666666,0.1,0.0
1,sign,None,200,435,1,0.4,259,176,0.1,300,2.62,133.35,173.38,125.65,0.18,0.0
2,sign,None,200,435,1,0.6,380,55,0.1,300,1.62,306.9433333333333,53.38,73.05666666666667,0.36,0.0
0,sign,None,200,406,1,0.2,71,335,0.1,300,3.6666666666666665,20.44,331.3333333333333,50.56,0.12666666666666668,0.0
1,sign,None,200,406,1,0.4,234,172,0.1,300,2.1066666666666665,119.29,169.89333333333335,114.71,0.22,0.0
2,sign,None,200,406,1,0.6,351,55,0.1,300,1.6933333333333334,280.5566666666667,53.306666666666665,70.44333333333333,0.3433333333333333,0.0
0,sign,None,200,378,1,0.2,65,313,0.1,300,3.3866666666666667,19.283333333333335,309.61333333333334,45.71666666666667,0.11333333333333333,0.0
1,sign,None,200,378,1,0.4,213,165,0.1,300,2.2066666666666666,108.02,162.79333333333332,104.98,0.21333333333333335,0.0
2,sign,None,200,378,1,0.6,323,55,0.1,300,1.59,256.19666666666666,53.41,66.80333333333333,0.38333333333333336,0.0
0,sign,None,200,351,1,0.2,62,289,0.1,300,2.82,17.436666666666667,286.18,44.56333333333333,0.17,0.0
1,sign,None,200,351,1,0.4,204,147,0.1,300,1.8666666666666667,103.63666666666667,145.13333333333333,100.36333333333333,0.2733333333333333,0.0
2,sign,None,200,351,1,0.6,305,46,0.1,300,1.26,243.90666666666667,44.74,61.093333333333334,0.4633333333333333,0.0
0,sign,None,200,325,1,0.2,59,266,0.1,300,2.8933333333333335,18.016666666666666,263.1066666666667,40.983333333333334,0.16333333333333333,0.0
1,sign,None,200,325,1,0.4,193,132,0.1,300,1.9266666666666667,99.27,130.07333333333332,93.73,0.24666666666666667,0.0
2,sign,None,200,325,1,0.6,287,38,0.1,300,1.0266666666666666,230.01666666666668,36.973333333333336,56.983333333333334,0.44666666666666666,0.0
0,sign,None,200,300,1,0.2,54,246,0.1,300,2.7066666666666666,16.48,243.29333333333332,37.52,0.18333333333333332,0.0
1,sign,None,200,300,1,0.4,170,130,0.1,300,1.7833333333333334,87.93333333333334,128.21666666666667,82.06666666666666,0.2966666666666667,0.0
2,sign,None,200,300,1,0.6,263,37,0.1,300,0.9433333333333334,206.44666666666666,36.056666666666665,56.553333333333335,0.5033333333333333,0.0
0,sign,None,200,276,1,0.2,52,224,0.1,300,2.23,15.123333333333333,221.77,36.876666666666665,0.22333333333333333,0.0
1,sign,None,200,276,1,0.4,163,113,0.1,300,1.5466666666666666,83.56333333333333,111.45333333333333,79.43666666666667,0.33666666666666667,0.0
2,sign,None,200,276,1,0.6,245,31,0.1,300,0.89,194.84333333333333,30.11,50.156666666666666,0.5533333333333333,0.0
0,sign,None,200,253,1,0.2,44,209,0.1,300,1.8733333333333333,12.656666666666666,207.12666666666667,31.343333333333334,0.30666666666666664,0.0
1,sign,None,200,253,1,0.4,142,111,0.1,300,1.4233333333333333,70.43333333333334,109.57666666666667,71.56666666666666,0.3566666666666667,0.0
2,sign,None,200,253,1,0.6,222,31,0.1,300,0.9766666666666667,173.19666666666666,30.023333333333333,48.803333333333335,0.49333333333333335,0.0
0,sign,None,200,231,1,0.2,32,199,0.1,300,1.5366666666666666,9.83,197.46333333333334,22.17,0.33,0.0
1,sign,None,200,231,1,0.4,120,111,0.1,300,1.5333333333333334,55.79333333333334,109.46666666666667,64.20666666666666,0.33,0.0
2,sign,None,200,231,1,0.6,200,31,0.1,300,0.83,151.52,30.17,48.48,0.5433333333333333,0.0
0,sign,None,200,210,1,0.2,29,181,0.1,300,1.3733333333333333,8.54,179.62666666666667,20.46,0.35,0.0
