,tester,correction,sample_size,ntests,bp,th,EP,EN,slvl,nrepeats,FP,TP,TN,FN,P(FP=0),P(FN=0)
0,sign,benjamini,200,435,1,0.2,80,355,0.1,300,0.013333333333333334,0.91,354.9866666666667,79.09,0.99,0.0
1,sign,benjamini,200,435,1,0.4,259,176,0.1,300,0.5166666666666667,82.72333333333333,175.48333333333332,176.27666666666667,0.71,0.0
2,sign,benjamini,200,435,1,0.6,380,55,0.1,300,1.0633333333333332,291.72,53.93666666666667,88.28,0.5633333333333334,0.0
0,sign,benjamini,200,406,1,0.2,71,335,0.1,300,0.01,0.6866666666666666,334.99,70.31333333333333,0.99,0.0
1,sign,benjamini,200,406,1,0.4,234,172,0.1,300,0.4766666666666667,74.00333333333333,171.52333333333334,159.99666666666667,0.71,0.0
2,sign,benjamini,200,406,1,0.6,351,55,0.1,300,1.0466666666666666,265.48333333333335,53.95333333333333,85.51666666666667,0.49666666666666665,0.0
0,sign,benjamini,200,378,1,0.2,65,313,0.1,300,0.016666666666666666,0.91,312.98333333333335,64.09,0.9833333333333333,0.0
1,sign,benjamini,200,378,1,0.4,213,165,0.1,300,0.38333333333333336,66.41666666666667,164.61666666666667,146.58333333333334,0.7233333333333334,0.0
2,sign,benjamini,200,378,1,0.6,323,55,0.1,300,0.9666666666666667,242.12,54.03333333333333,80.88,0.52,0.0
0,sign,benjamini,200,351,1,0.2,62,289,0.1,300,0.03,0.6766666666666666,288.97,61.32333333333333,0.9766666666666667,0.0
1,sign,benjamini,200,351,1,0.4,204,147,0.1,300,0.4666666666666667,66.32333333333334,146.53333333333333,137.67666666666668,0.74,0.0
2,sign,benjamini,200,351,1,0.6,305,46,0.1,300,0.8966666666666666,231.18,45.10333333333333,73.82,0.5566666666666666,0.0
0,sign,benjamini,200,325,1,0.2,59,266,0.1,300,0.016666666666666666,0.9033333333333333,265.98333333333335,58.096666666666664,0.9833333333333333,0.0
1,sign,benjamini,200,325,1,0.4,193,132,0.1,300,0.39,62.68,131.61,130.32,0.7566666666666667,0.0
2,sign,benjamini,200,325,1,0.6,287,38,0.1,300,0.61,218.31,37.39,68.69,0.6366666666666667,0.0
0,sign,benjamini,200,300,1,0.2,54,246,0.1,300,0.02,0.8433333333333334,245.98,53.156666666666666,0.9833333333333333,0.0
1,sign,benjamini,200,300,1,0.4,170,130,0.1,300,0.34,53.54333333333334,129.66,116.45666666666666,0.7466666666666667,0.0
2,sign,benjamini,200,300,1,0.6,263,37,0.1,300,0.5333333333333333,193.51666666666668,36.46666666666667,69.48333333333333,0.68,0.0
