,tester,correction,sample_size,ntests,bp,th,EP,EN,slvl,nrepeats,FP,TP,TN,FN,P(FP=0),P(FN=0)
0,sign,bonferroni,200,435,1,0.2,80,355,0.1,300,0.013333333333333334,0.6466666666666666,354.9866666666667,79.35333333333334,0.9866666666666667,0.0
1,sign,bonferroni,200,435,1,0.4,259,176,0.1,300,0.006666666666666667,22.366666666666667,175.99333333333334,236.63333333333333,0.9933333333333333,0.0
2,sign,bonferroni,200,435,1,0.6,380,55,0.1,300,0.01,156.91,54.99,223.09,0.99,0.0
0,sign,bonferroni,200,406,1,0.2,71,335,0.1,300,0.016666666666666666,0.66,334.98333333333335,70.34,0.9833333333333333,0.0
1,sign,bonferroni,200,406,1,0.4,234,172,0.1,300,0.0033333333333333335,19.796666666666667,171.99666666666667,214.20333333333335,0.9966666666666667,0.0
2,sign,bonferroni,200,406,1,0.6,351,55,0.1,300,0.0,144.42,55.0,206.58,1.0,0.0
0,sign,bonferroni,200,378,1,0.2,65,313,0.1,300,0.01,0.58,312.99,64.42,0.99,0.0
1,sign,bonferroni,200,378,1,0.4,213,165,0.1,300,0.01,17.966666666666665,164.99,195.03333333333333,0.99,0.0
2,sign,bonferroni,200,378,1,0.6,323,55,0.1,300,0.0,129.88,55.0,193.12,1.0,0.0
0,sign,bonferroni,200,351,1,0.2,62,289,0.1,300,0.013333333333333334,0.61,288.9866666666667,61.39,0.9866666666666667,0.0
1,sign,bonferroni,200,351,1,0.4,204,147,0.1,300,0.013333333333333334,17.13,146.98666666666668,186.87,0.9866666666666667,0.0
2,sign,bonferroni,200,351,1,0.6,305,46,0.1,300,0.0033333333333333335,123.29,45.99666666666667,181.71,0.9966666666666667,0.0
0,sign,bonferroni,200,325,1,0.2,59,266,0.1,300,0.0033333333333333335,0.6233333333333333,265.99666666666667,58.376666666666665,0.9966666666666667,0.0
1,sign,bonferroni,200,325,1,0.4,193,132,0.1,300,0.006666666666666667,17.18,131.99333333333334,175.82,0.9966666666666667,0.0
2,sign,bonferroni,200,325,1,0.6,287,38,0.1,300,0.0033333333333333335,118.83666666666667,37.99666666666667,168.16333333333333,0.9966666666666667,0.0
0,sign,bonferroni,200,300,1,0.2,54,246,0.1,300,0.016666666666666666,0.66,245.98333333333332,53.34,0.9833333333333333,0.0
1,sign,bonferroni,200,300,1,0.4,170,130,0.1,300,0.0,15.413333333333334,130.0,154.58666666666667,1.0,0.0
2,sign,bonferroni,200,300,1,0.6,263,37,0.1,300,0.0033333333333333335,104.81333333333333,36.99666666666667,158.18666666666667,0.9966666666666667,0.0
0,sign,bonferroni,200,276,1,0.2,52,224,0.1,300,0.0,0.4666666666666667,224.0,51.53333333333333,1.0,0.0
1,sign,bonferroni,200,276,1,0.4,163,113,0.1,300,0.0,15.17,113.0,147.83,1.0,0.0
2,sign,bonferroni,200,276,1,0.6,245,31,0.1,300,0.006666666666666667,100.43666666666667,30.993333333333332,144.56333333333333,0.9933333333333333,0.0
0,sign,bonferroni,200,253,1,0.2,44,209,0.1,300,0.0033333333333333335,0.46,208.99666666666667,43.54,0.9966666666666667,0.0
1,sign,bonferroni,200,253,1,0.4,142,111,0.1,300,0.0,12.573333333333334,111.0,129.42666666666668,1.0,0.0
2,sign,bonferroni,200,253,1,0.6,222,31,0.1,300,0.0,84.0,31.0,138.0,1.0,0.0
0,sign,bonferroni,200,231,1,0.2,32,199,0.1,300,0.006666666666666667,0.42,198.99333333333334,31.58,0.9933333333333333,0.0
1,sign,bonferroni,200,231,1,0.4,120,111,0.1,300,0.01,9.176666666666666,110.99,110.82333333333334,0.99,0.0
2,sign,bonferroni,200,231,1,0.6,200,31,0.1,300,0.0033333333333333335,68.45,30.996666666666666,131.55,0.9966666666666667,0.0
0,sign,bonferroni,200,210,1,0.2,29,181,0.1,300,0.0,0.3,181.0,28.7,1.0,0.0
1,sign,bonferroni,200,210,1,0.4,112,98,0.1,300,0.0033333333333333335,8.773333333333333,97.99666666666667,103.22666666666667,0.9966666666666667,0.0
2,sign,bonferroni,200,210,1,0.6,182,28,0.1,300,0.0,64.73666666666666,28.0,117.26333333333334,1.0,0.0
0,sign,bonferroni,200,190,1,0.2,28,162,0.1,300,0.006666666666666667,0.3233333333333333,161.99333333333334,27.676666666666666,0.9933333333333333,0.0
1,sign,bonferroni,200,190,1,0.4,105,85,0.1,300,0.0033333333333333335,8.42,84.99666666666667,96.58,0.9966666666666667,0.0
2,sign,bonferroni,200,190,1,0.6,165,25,0.1,300,0.0,60.17666666666667,25.0,104.82333333333334,1.0,0.0
0,sign,bonferroni,200,171,1,0.2,27,144,0.1,300,0.01,0.33666666666666667,143.99,26.663333333333334,0.99,0.0
1,sign,bonferroni,200,171,1,0.4,99,72,0.1,300,0.0,8.13,72.0,90.87,1.0,0.0
2,sign,bonferroni,200,171,1,0.6,150,21,0.1,300,0.0,57.32666666666667,21.0,92.67333333333333,1.0,0.0
0,sign,bonferroni,200,153,1,0.2,24,129,0.1,300,0.0,0.31,129.0,23.69,1.0,0.0
1,sign,bonferroni,200,153,1,0.4,84,69,0.1,300,0.006666666666666667,7.54,68.99333333333334,76.46,0.9933333333333333,0.0
2,sign,bonferroni,200,153,1,0.6,132,21,0.1,300,0.0033333333333333335,48.5,20.996666666666666,83.5,0.9966666666666667,0.0
0,sign,bonferroni,200,136,1,0.2,22,114,0.1,300,0.0,0.30333333333333334,114.0,21.696666666666665,1.0,0.0
1,sign,bonferroni,200,136,1,0.4,71,65,0.1,300,0.0,7.303333333333334,65.0,63.696666666666665,1.0,0.0
2,sign,bonferroni,200,136,1,0.6,115,21,0.1,300,0.0,42.49333333333333,21.0,72.50666666666666,1.0,0.0
0,sign,bonferroni,200,120,1,0.2,21,99,0.1,300,0.0033333333333333335,0.30666666666666664,98.99666666666667,20.69333333333333,0.9966666666666667,0.0
1,sign,bonferroni,200,120,1,0.4,67,53,0.1,300,0.0033333333333333335,7.203333333333333,52.99666666666667,59.79666666666667,0.9966666666666667,0.0
2,sign,bonferroni,200,120,1,0.6,106,14,0.1,300,0.0,41.13666666666666,14.0,64.86333333333333,1.0,0.0
0,sign,bonferroni,200,105,1,0.2,18,87,0.1,300,0.0,0.27,87.0,17.73,1.0,0.0
1,sign,bonferroni,200,105,1,0.4,53,52,0.1,300,0.0033333333333333335,6.066666666666666,51.99666666666667,46.93333333333333,0.9966666666666667,0.0
2,sign,bonferroni,200,105,1,0.6,91,14,0.1,300,0.0,32.51,14.0,58.49,1.0,0.0
0,sign,bonferroni,200,91,1,0.2,15,76,0.1,300,0.0,0.47,76.0,14.53,1.0,0.0
1,sign,bonferroni,200,91,1,0.4,43,48,0.1,300,0.0,7.906666666666666,48.0,35.093333333333334,1.0,0.0
2,sign,bonferroni,200,91,1,0.6,77,14,0.1,300,0.0,30.533333333333335,14.0,46.46666666666667,1.0,0.0
0,sign,bonferroni,200,78,1,0.2,4,74,0.1,300,0.0,0.24333333333333335,74.0,3.756666666666667,1.0,0.0
