,tester,correction,sample_size,ntests,bp,th,EP,EN,slvl,nrepeats,FP,TP,TN,FN,P(FP=0),P(FN=0)
0,sign,hochberg,200,435,1,0.2,80,355,0.1,300,0.006666666666666667,0.5933333333333334,354.99333333333334,79.40666666666667,0.9933333333333333,0.0
1,sign,hochberg,200,435,1,0.4,259,176,0.1,300,0.0033333333333333335,21.643333333333334,175.99666666666667,237.35666666666665,0.9966666666666667,0.0
2,sign,hochberg,200,435,1,0.6,380,55,0.1,300,0.013333333333333334,158.04,54.986666666666665,221.96,0.99,0.0
0,sign,hochberg,200,406,1,0.2,71,335,0.1,300,0.006666666666666667,0.6433333333333333,334.99333333333334,70.35666666666667,0.9933333333333333,0.0
1,sign,hochberg,200,406,1,0.4,234,172,0.1,300,0.006666666666666667,19.046666666666667,171.99333333333334,214.95333333333335,0.9933333333333333,0.0
2,sign,hochberg,200,406,1,0.6,351,55,0.1,300,0.0033333333333333335,142.08,54.99666666666667,208.92,0.9966666666666667,0.0
0,sign,hochberg,200,378,1,0.2,65,313,0.1,300,0.013333333333333334,0.6866666666666666,312.9866666666667,64.31333333333333,0.99,0.0
1,sign,hochberg,200,378,1,0.4,213,165,0.1,300,0.013333333333333334,17.923333333333332,164.98666666666668,195.07666666666665,0.9866666666666667,0.0
2,sign,hochberg,200,378,1,0.6,323,55,0.1,300,0.0,130.05666666666667,55.0,192.94333333333333,1.0,0.0
0,sign,hochberg,200,351,1,0.2,62,289,0.1,300,0.013333333333333334,0.58,288.9866666666667,61.42,0.9866666666666667,0.0
1,sign,hochberg,200,351,1,0.4,204,147,0.1,300,0.013333333333333334,17.15,146.98666666666668,186.85,0.9866666666666667,0.0
2,sign,hochberg,200,351,1,0.6,305,46,0.1,300,0.0,123.31666666666666,46.0,181.68333333333334,1.0,0.0
0,sign,hochberg,200,325,1,0.2,59,266,0.1,300,0.006666666666666667,0.62,265.99333333333334,58.38,0.9933333333333333,0.0
1,sign,hochberg,200,325,1,0.4,193,132,0.1,300,0.006666666666666667,15.583333333333334,131.99333333333334,177.41666666666666,0.9966666666666667,0.0
2,sign,hochberg,200,325,1,0.6,287,38,0.1,300,0.0,115.96,38.0,171.04,1.0,0.0
0,sign,hochberg,200,300,1,0.2,54,246,0.1,300,0.016666666666666666,0.4066666666666667,245.98333333333332,53.593333333333334,0.9833333333333333,0.0
1,sign,hochberg,200,300,1,0.4,170,130,0.1,300,0.0033333333333333335,15.436666666666667,129.99666666666667,154.56333333333333,0.9966666666666667,0.0
2,sign,hochberg,200,300,1,0.6,263,37,0.1,300,0.0,104.91666666666667,37.0,158.08333333333334,1.0,0.0
0,sign,hochberg,200,276,1,0.2,52,224,0.1,300,0.006666666666666667,0.5933333333333334,223.99333333333334,51.406666666666666,0.9933333333333333,0.0
1,sign,hochberg,200,276,1,0.4,163,113,0.1,300,0.0033333333333333335,14.326666666666666,112.99666666666667,148.67333333333335,0.9966666666666667,0.0
2,sign,hochberg,200,276,1,0.6,245,31,0.1,300,0.0,99.57333333333334,31.0,145.42666666666668,1.0,0.0
0,sign,hochberg,200,253,1,0.2,44,209,0.1,300,0.006666666666666667,0.48,208.99333333333334,43.52,0.9933333333333333,0.0
1,sign,hochberg,200,253,1,0.4,142,111,0.1,300,0.0033333333333333335,12.623333333333333,110.99666666666667,129.37666666666667,0.9966666666666667,0.0
2,sign,hochberg,200,253,1,0.6,222,31,0.1,300,0.0,84.03,31.0,137.97,1.0,0.0
0,sign,hochberg,200,231,1,0.2,32,199,0.1,300,0.006666666666666667,0.2833333333333333,198.99333333333334,31.716666666666665,0.9933333333333333,0.0
1,sign,hochberg,200,231,1,0.4,120,111,0.1,300,0.0033333333333333335,9.043333333333333,110.99666666666667,110.95666666666666,0.9966666666666667,0.0
2,sign,hochberg,200,231,1,0.6,200,31,0.1,300,0.0,69.10333333333334,31.0,130.89666666666668,1.0,0.0
0,sign,hochberg,200,210,1,0.2,29,181,0.1,300,0.0033333333333333335,0.3566666666666667,180.99666666666667,28.643333333333334,0.9966666666666667,0.0
1,sign,hochberg,200,210,1,0.4,112,98,0.1,300,0.0033333333333333335,8.73,97.99666666666667,103.27,0.9966666666666667,0.0
2,sign,hochberg,200,210,1,0.6,182,28,0.1,300,0.0033333333333333335,62.92333333333333,27.996666666666666,119.07666666666667,0.9966666666666667,0.0
0,sign,hochberg,200,190,1,0.2,28,162,0.1,300,0.0,0.29,162.0,27.71,1.0,0.0
