,tester,correction,sample_size,ntests,bp,th,EP,EN,slvl,nrepeats,FP,TP,TN,FN,P(FP=0),P(FN=0)
0,sign,holm,200,435,1,0.2,80,355,0.1,300,0.013333333333333334,0.72,354.9866666666667,79.28,0.9866666666666667,0.0
1,sign,holm,200,435,1,0.4,259,176,0.1,300,0.01,21.523333333333333,175.99,237.47666666666666,0.99,0.0
2,sign,holm,200,435,1,0.6,380,55,0.1,300,0.013333333333333334,156.95,54.986666666666665,223.05,0.9866666666666667,0.0
0,sign,holm,200,406,1,0.2,71,335,0.1,300,0.01,0.68,334.99,70.32,0.99,0.0
1,sign,holm,200,406,1,0.4,234,172,0.1,300,0.013333333333333334,19.11,171.98666666666668,214.89,0.9866666666666667,0.0
2,sign,holm,200,406,1,0.6,351,55,0.1,300,0.0,142.04,55.0,208.96,1.0,0.0
0,sign,holm,200,378,1,0.2,65,313,0.1,300,0.02,0.5466666666666666,312.98,64.45333333333333,0.98,0.0
1,sign,holm,200,378,1,0.4,213,165,0.1,300,0.01,18.29,164.99,194.71,0.9933333333333333,0.0
2,sign,holm,200,378,1,0.6,323,55,0.1,300,0.0,129.51666666666668,55.0,193.48333333333332,1.0,0.0
0,sign,holm,200,351,1,0.2,62,289,0.1,300,0.0,0.6533333333333333,289.0,61.346666666666664,1.0,0.0
1,sign,holm,200,351,1,0.4,204,147,0.1,300,0.006666666666666667,16.316666666666666,146.99333333333334,187.68333333333334,0.9933333333333333,0.0
2,sign,holm,200,351,1,0.6,305,46,0.1,300,0.0,123.32333333333334,46.0,181.67666666666668,1.0,0.0
0,sign,holm,200,325,1,0.2,59,266,0.1,300,0.0033333333333333335,0.6166666666666667,265.99666666666667,58.38333333333333,0.9966666666666667,0.0
1,sign,holm,200,325,1,0.4,193,132,0.1,300,0.0,16.67,132.0,176.33,1.0,0.0
2,sign,holm,200,325,1,0.6,287,38,0.1,300,0.0033333333333333335,117.40333333333334,37.99666666666667,169.59666666666666,0.9966666666666667,0.0
0,sign,holm,200,300,1,0.2,54,246,0.1,300,0.01,0.5366666666666666,245.99,53.46333333333333,0.99,0.0
1,sign,holm,200,300,1,0.4,170,130,0.1,300,0.006666666666666667,14.93,129.99333333333334,155.07,0.9933333333333333,0.0
2,sign,holm,200,300,1,0.6,263,37,0.1,300,0.0033333333333333335,104.40666666666667,36.99666666666667,158.59333333333333,0.9966666666666667,0.0
0,sign,holm,200,276,1,0.2,52,224,0.1,300,0.0033333333333333335,0.44,223.99666666666667,51.56,0.9966666666666667,0.0
1,sign,holm,200,276,1,0.4,163,113,0.1,300,0.0033333333333333335,14.726666666666667,112.99666666666667,148.27333333333334,0.9966666666666667,0.0
2,sign,holm,200,276,1,0.6,245,31,0.1,300,0.0033333333333333335,99.9,30.996666666666666,145.1,0.9966666666666667,0.0
0,sign,holm,200,253,1,0.2,44,209,0.1,300,0.0,0.4033333333333333,209.0,43.596666666666664,1.0,0.0
1,sign,holm,200,253,1,0.4,142,111,0.1,300,0.013333333333333334,12.62,110.98666666666666,129.38,0.9866666666666667,0.0
2,sign,holm,200,253,1,0.6,222,31,0.1,300,0.006666666666666667,83.78,30.993333333333332,138.22,0.9933333333333333,0.0
0,sign,holm,200,231,1,0.2,32,199,0.1,300,0.016666666666666666,0.37666666666666665,198.98333333333332,31.623333333333335,0.9866666666666667,0.0
1,sign,holm,200,231,1,0.4,120,111,0.1,300,0.006666666666666667,8.99,110.99333333333334,111.01,0.9933333333333333,0.0
2,sign,holm,200,231,1,0.6,200,31,0.1,300,0.0,69.38,31.0,130.62,1.0,0.0
0,sign,holm,200,210,1,0.2,29,181,0.1,300,0.0033333333333333335,0.33666666666666667,180.99666666666667,28.663333333333334,0.9966666666666667,0.0
1,sign,holm,200,210,1,0.4,112,98,0.1,300,0.0033333333333333335,8.99,97.99666666666667,103.01,0.9966666666666667,0.0
2,sign,holm,200,210,1,0.6,182,28,0.1,300,0.0033333333333333335,62.86,27.996666666666666,119.14,0.9966666666666667,0.0
0,sign,holm,200,190,1,0.2,28,162,0.1,300,0.0033333333333333335,0.27666666666666667,161.99666666666667,27.723333333333333,0.9966666666666667,0.0
1,sign,holm,200,190,1,0.4,105,85,0.1,300,0.006666666666666667,8.303333333333333,84.99333333333334,96.69666666666667,0.9933333333333333,0.0
2,sign,holm,200,190,1,0.6,165,25,0.1,300,0.0,59.29666666666667,25.0,105.70333333333333,1.0,0.0
0,sign,holm,200,171,1,0.2,27,144,0.1,300,0.0,0.38333333333333336,144.0,26.616666666666667,1.0,0.0
1,sign,holm,200,171,1,0.4,99,72,0.1,300,0.0033333333333333335,8.34,71.99666666666667,90.66,0.9966666666666667,0.0
2,sign,holm,200,171,1,0.6,150,21,0.1,300,0.0,56.47666666666667,21.0,93.52333333333333,1.0,0.0
0,sign,holm,200,153,1,0.2,24,129,0.1,300,0.01,0.33666666666666667,128.99,23.663333333333334,0.99,0.0
1,sign,holm,200,153,1,0.4,84,69,0.1,300,0.0033333333333333335,7.753333333333333,68.99666666666667,76.24666666666667,0.9966666666666667,0.0
2,sign,holm,200,153,1,0.6,132,21,0.1,300,0.0033333333333333335,49.47666666666667,20.996666666666666,82.52333333333333,0.9966666666666667,0.0
0,sign,holm,200,136,1,0.2,22,114,0.1,300,0.0,0.33,114.0,21.67,1.0,0.0
1,sign,holm,200,136,1,0.4,71,65,0.1,300,0.0,7.09,65.0,63.91,1.0,0.0
2,sign,holm,200,136,1,0.6,115,21,0.1,300,0.0033333333333333335,46.92666666666667,20.996666666666666,68.07333333333334,0.9966666666666667,0.0
0,sign,holm,200,120,1,0.2,21,99,0.1,300,0.0033333333333333335,0.3433333333333333,98.99666666666667,20.656666666666666,0.9966666666666667,0.0
1,sign,holm,200,120,1,0.4,67,53,0.1,300,0.0033333333333333335,7.0,52.99666666666667,60.0,0.9966666666666667,0.0
2,sign,holm,200,120,1,0.6,106,14,0.1,300,0.0,46.85666666666667,14.0,59.14333333333333,1.0,0.0
0,sign,holm,200,105,1,0.2,18,87,0.1,300,0.0,0.31666666666666665,87.0,17.683333333333334,1.0,0.0
1,sign,holm,200,105,1,0.4,53,52,0.1,300,0.01,8.216666666666667,51.99,44.78333333333333,0.99,0.0
2,sign,holm,200,105,1,0.6,91,14,0.1,300,0.0,37.18,14.0,53.82,1.0,0.0
0,sign,holm,200,91,1,0.2,15,76,0.1,300,0.0033333333333333335,0.5633333333333334,75.99666666666667,14.436666666666667,0.9966666666666667,0.0
1,sign,holm,200,91,1,0.4,43,48,0.1,300,0.0033333333333333335,8.146666666666667,47.99666666666667,34.85333333333333,0.9966666666666667,0.0
2,sign,holm,200,91,1,0.6,77,14,0.1,300,0.0,30.416666666666668,14.0,46.583333333333336,1.0,0.0
0,sign,holm,200,78,1,0.2,4,74,0.1,300,0.0,0.21,74.0,3.79,1.0,0.0
1,sign,holm,200,78,1,0.4,30,48,0.1,300,0.0033333333333333335,3.0533333333333332,47.99666666666667,26.946666666666665,0.9966666666666667,0.0
2,sign,holm,200,78,1,0.6,64,14,0.1,300,0.006666666666666667,18.4,13.993333333333334,45.6,0.9933333333333333,0.0
0,sign,holm,200,66,1,0.2,4,62,0.1,300,0.0033333333333333335,0.19,61.99666666666667,3.81,0.9966666666666667,0.0
1,sign,holm,200,66,1,0.4,27,39,0.1,300,0.0,3.0966666666666667,39.0,23.903333333333332,1.0,0.0
2,sign,holm,200,66,1,0.6,54,12,0.1,300,0.016666666666666666,16.3,11.983333333333333,37.7,0.99,0.0
0,sign,holm,200,55,1,0.2,4,51,0.1,300,0.0,0.14666666666666667,51.0,3.8533333333333335,1.0,0.0
1,sign,holm,200,55,1,0.4,25,30,0.1,300,0.006666666666666667,2.84,29.993333333333332,22.16,0.9933333333333333,0.0
