,tester,correction,sample_size,ntests,bp,th,EP,EN,slvl,nrepeats,FP,TP,TN,FN,P(FP=0),P(FN=0)
0,pearson,bonferroni,200,190,0.0,0.0,0,190,0.1,300,7.496666666666667,0.0,182.50333333333333,0.0,0.11333333333333333,1.0
1,pearson,bonferroni,200,190,0.1,0.0,0,190,0.1,300,7.04,0.0,182.96,0.0,0.17,1.0
2,pearson,bonferroni,200,190,0.2,0.0,0,190,0.1,300,6.31,0.0,183.69,0.0,0.14666666666666667,1.0
3,pearson,bonferroni,200,190,0.30000000000000004,0.0,0,190,0.1,300,5.933333333333334,0.0,184.06666666666666,0.0,0.18666666666666668,1.0
4,pearson,bonferroni,200,190,0.4,0.0,0,190,0.1,300,5.49,0.0,184.51,0.0,0.17,1.0
5,pearson,bonferroni,200,190,0.5,0.0,0,190,0.1,300,5.6066666666666665,0.0,184.39333333333335,0.0,0.16333333333333333,1.0
6,pearson,bonferroni,200,190,0.6000000000000001,0.0,0,190,0.1,300,5.583333333333333,0.0,184.41666666666666,0.0,0.19333333333333333,1.0
7,pearson,bonferroni,200,190,0.7000000000000001,0.0,0,190,0.1,300,4.95,0.0,185.05,0.0,0.23,1.0
8,pearson,bonferroni,200,190,0.8,0.0,0,190,0.1,300,3.473333333333333,0.0,186.52666666666667,0.0,0.2833333333333333,1.0
9,pearson,bonferroni,200,190,0.9,0.0,0,190,0.1,300,2.58,0.0,187.42,0.0,0.4066666666666667,1.0
10,pearson,bonferroni,200,190,1.0,0.0,0,190,0.1,300,0.73,0.0,189.27,0.0,0.5733333333333334,1.0
11,pearson,bonferroni,200,190,0.0,0.2,28,162,0.1,300,11.97,15.706666666666667,150.03,12.293333333333333,0.03666666666666667,0.0
12,pearson,bonferroni,200,190,0.1,0.2,28,162,0.1,300,11.633333333333333,15.943333333333333,150.36666666666667,12.056666666666667,0.03333333333333333,0.0
13,pearson,bonferroni,200,190,0.2,0.2,28,162,0.1,300,12.223333333333333,16.29,149.77666666666667,11.71,0.04,0.0
14,pearson,bonferroni,200,190,0.30000000000000004,0.2,28,162,0.1,300,12.183333333333334,16.14666666666667,149.81666666666666,11.853333333333333,0.056666666666666664,0.0
15,pearson,bonferroni,200,190,0.4,0.2,28,162,0.1,300,11.39,16.296666666666667,150.61,11.703333333333333,0.043333333333333335,0.0
16,pearson,bonferroni,200,190,0.5,0.2,28,162,0.1,300,11.413333333333334,16.003333333333334,150.58666666666667,11.996666666666666,0.043333333333333335,0.0
17,pearson,bonferroni,200,190,0.6000000000000001,0.2,28,162,0.1,300,11.313333333333333,16.04,150.68666666666667,11.96,0.043333333333333335,0.0
18,pearson,bonferroni,200,190,0.7000000000000001,0.2,28,162,0.1,300,9.803333333333333,16.953333333333333,152.19666666666666,11.046666666666667,0.05,0.0
19,pearson,bonferroni,200,190,0.8,0.2,28,162,0.1,300,8.636666666666667,16.86,153.36333333333334,11.14,0.07666666666666666,0.0033333333333333335
20,pearson,bonferroni,200,190,0.9,0.2,28,162,0.1,300,5.456666666666667,16.733333333333334,156.54333333333332,11.266666666666667,0.12,0.0
21,pearson,bonferroni,200,190,1.0,0.2,28,162,0.1,300,2.3566666666666665,17.81,159.64333333333335,10.19,0.21333333333333335,0.0
22,pearson,bonferroni,200,190,0.0,0.4,105,85,0.1,300,9.586666666666666,71.91666666666667,75.41333333333333,33.083333333333336,0.05333333333333334,0.0
23,pearson,bonferroni,200,190,0.1,0.4,105,85,0.1,300,9.92,71.03666666666666,75.08,33.96333333333333,0.05333333333333334,0.0
24,pearson,bonferroni,200,190,0.2,0.4,105,85,0.1,300,9.34,70.70666666666666,75.66,34.29333333333334,0.02666666666666667,0.0
25,pearson,bonferroni,200,190,0.30000000000000004,0.4,105,85,0.1,300,9.37,72.22666666666667,75.63,32.77333333333333,0.04,0.0
26,pearson,bonferroni,200,190,0.4,0.4,105,85,0.1,300,8.9,70.36,76.1,34.64,0.05333333333333334,0.0
27,pearson,bonferroni,200,190,0.5,0.4,105,85,0.1,300,8.92,72.56333333333333,76.08,32.43666666666667,0.07333333333333333,0.0
28,pearson,bonferroni,200,190,0.6000000000000001,0.4,105,85,0.1,300,9.143333333333333,73.56333333333333,75.85666666666667,31.436666666666667,0.05333333333333334,0.0
29,pearson,bonferroni,200,190,0.7000000000000001,0.4,105,85,0.1,300,7.716666666666667,73.47,77.28333333333333,31.53,0.08666666666666667,0.0
30,pearson,bonferroni,200,190,0.8,0.4,105,85,0.1,300,6.336666666666667,74.16,78.66333333333333,30.84,0.1,0.0
31,pearson,bonferroni,200,190,0.9,0.4,105,85,0.1,300,5.026666666666666,76.86666666666666,79.97333333333333,28.133333333333333,0.10333333333333333,0.0
32,pearson,bonferroni,200,190,1.0,0.4,105,85,0.1,300,2.1466666666666665,78.56,82.85333333333334,26.44,0.23333333333333334,0.0
33,pearson,bonferroni,200,190,0.0,0.6,165,25,0.1,300,4.113333333333333,143.03666666666666,20.886666666666667,21.963333333333335,0.17333333333333334,0.0
34,pearson,bonferroni,200,190,0.1,0.6,165,25,0.1,300,4.05,141.63666666666666,20.95,23.363333333333333,0.15666666666666668,0.006666666666666667
35,pearson,bonferroni,200,190,0.2,0.6,165,25,0.1,300,4.113333333333333,141.53,20.886666666666667,23.47,0.17666666666666667,0.0033333333333333335
36,pearson,bonferroni,200,190,0.30000000000000004,0.6,165,25,0.1,300,3.6866666666666665,139.86333333333334,21.313333333333333,25.136666666666667,0.21333333333333335,0.0033333333333333335
37,pearson,bonferroni,200,190,0.4,0.6,165,25,0.1,300,3.743333333333333,141.90333333333334,21.256666666666668,23.096666666666668,0.19333333333333333,0.0
38,pearson,bonferroni,200,190,0.5,0.6,165,25,0.1,300,3.743333333333333,141.11,21.256666666666668,23.89,0.18333333333333332,0.0
39,pearson,bonferroni,200,190,0.6000000000000001,0.6,165,25,0.1,300,3.53,142.98666666666668,21.47,22.013333333333332,0.2,0.006666666666666667
40,pearson,bonferroni,200,190,0.7000000000000001,0.6,165,25,0.1,300,3.01,144.10333333333332,21.99,20.89666666666667,0.22666666666666666,0.0
41,pearson,bonferroni,200,190,0.8,0.6,165,25,0.1,300,3.05,146.91,21.95,18.09,0.2833333333333333,0.0033333333333333335
42,pearson,bonferroni,200,190,0.9,0.6,165,25,0.1,300,2.3366666666666664,148.53666666666666,22.663333333333334,16.463333333333335,0.2966666666666667,0.0
43,pearson,bonferroni,200,190,1.0,0.6,165,25,0.1,300,1.3433333333333333,152.20333333333335,23.656666666666666,12.796666666666667,0.4266666666666667,0.01
44,pearson,bonferroni,200,190,0.0,1.0,190,0,0.1,300,0.0,190.0,0.0,0.0,1.0,1.0
45,pearson,bonferroni,200,190,0.1,1.0,190,0,0.1,300,0.0,190.0,0.0,0.0,1.0,1.0
46,pearson,bonferroni,200,190,0.2,1.0,190,0,0.1,300,0.0,190.0,0.0,0.0,1.0,1.0
47,pearson,bonferroni,200,190,0.30000000000000004,1.0,190,0,0.1,300,0.0,190.0,0.0,0.0,1.0,1.0
48,pearson,bonferroni,200,190,0.4,1.0,190,0,0.1,300,0.0,190.0,0.0,0.0,1.0,1.0
49,pearson,bonferroni,200,190,0.5,1.0,190,0,0.1,300,0.0,190.0,0.0,0.0,1.0,1.0
50,pearson,bonferroni,200,190,0.6000000000000001,1.0,190,0,0.1,300,0.0,190.0,0.0,0.0,1.0,1.0
51,pearson,bonferroni,200,190,0.7000000000000001,1.0,190,0,0.1,300,0.0,190.0,0.0,0.0,1.0,1.0
52,pearson,bonferroni,200,190,0.8,1.0,190,0,0.1,300,0.0,190.0,0.0,0.0,1.0,1.0
53,pearson,bonferroni,200,190,0.9,1.0,190,0,0.1,300,0.0,190.0,0.0,0.0,1.0,1.0
54,pearson,bonferroni,200,190,1.0,1.0,190,0,0.1,300,0.0,190.0,0.0,0.0,1.0,1.0
