,tester,correction,sample_size,ntests,bp,th,EP,EN,slvl,nrepeats,FP,TP,TN,FN,P(FP=0),P(FN=0)
0,pearson,hochberg,200,190,0.0,0.0,0,190,0.1,300,7.1,0.0,182.9,0.0,0.10333333333333333,1.0
1,pearson,hochberg,200,190,0.1,0.0,0,190,0.1,300,7.6066666666666665,0.0,182.39333333333335,0.0,0.14,1.0
2,pearson,hochberg,200,190,0.2,0.0,0,190,0.1,300,6.953333333333333,0.0,183.04666666666665,0.0,0.15666666666666668,1.0
3,pearson,hochberg,200,190,0.30000000000000004,0.0,0,190,0.1,300,6.95,0.0,183.05,0.0,0.15,1.0
4,pearson,hochberg,200,190,0.4,0.0,0,190,0.1,300,6.983333333333333,0.0,183.01666666666668,0.0,0.16666666666666666,1.0
5,pearson,hochberg,200,190,0.5,0.0,0,190,0.1,300,5.836666666666667,0.0,184.16333333333333,0.0,0.20333333333333334,1.0
6,pearson,hochberg,200,190,0.6000000000000001,0.0,0,190,0.1,300,4.713333333333333,0.0,185.28666666666666,0.0,0.21,1.0
7,pearson,hochberg,200,190,0.7000000000000001,0.0,0,190,0.1,300,4.626666666666667,0.0,185.37333333333333,0.0,0.23666666666666666,1.0
8,pearson,hochberg,200,190,0.8,0.0,0,190,0.1,300,4.026666666666666,0.0,185.97333333333333,0.0,0.2733333333333333,1.0
9,pearson,hochberg,200,190,0.9,0.0,0,190,0.1,300,2.4266666666666667,0.0,187.57333333333332,0.0,0.36666666666666664,1.0
10,pearson,hochberg,200,190,1.0,0.0,0,190,0.1,300,0.7766666666666666,0.0,189.22333333333333,0.0,0.5566666666666666,1.0
11,pearson,hochberg,200,190,0.0,0.2,28,162,0.1,300,12.903333333333334,15.943333333333333,149.09666666666666,12.056666666666667,0.05,0.0
12,pearson,hochberg,200,190,0.1,0.2,28,162,0.1,300,12.243333333333334,15.6,149.75666666666666,12.4,0.04,0.0033333333333333335
13,pearson,hochberg,200,190,0.2,0.2,28,162,0.1,300,11.866666666666667,16.083333333333332,150.13333333333333,11.916666666666666,0.04,0.0
14,pearson,hochberg,200,190,0.30000000000000004,0.2,28,162,0.1,300,11.563333333333333,15.956666666666667,150.43666666666667,12.043333333333333,0.03666666666666667,0.0
15,pearson,hochberg,200,190,0.4,0.2,28,162,0.1,300,11.93,15.686666666666667,150.07,12.313333333333333,0.04666666666666667,0.0
16,pearson,hochberg,200,190,0.5,0.2,28,162,0.1,300,10.5,15.663333333333334,151.5,12.336666666666666,0.04,0.0
17,pearson,hochberg,200,190,0.6000000000000001,0.2,28,162,0.1,300,10.933333333333334,15.746666666666666,151.06666666666666,12.253333333333334,0.056666666666666664,0.0
18,pearson,hochberg,200,190,0.7000000000000001,0.2,28,162,0.1,300,9.666666666666666,17.02,152.33333333333334,10.98,0.05,0.0033333333333333335
19,pearson,hochberg,200,190,0.8,0.2,28,162,0.1,300,8.203333333333333,16.81,153.79666666666665,11.19,0.09,0.0
20,pearson,hochberg,200,190,0.9,0.2,28,162,0.1,300,6.136666666666667,16.30666666666667,155.86333333333334,11.693333333333333,0.14333333333333334,0.0033333333333333335
21,pearson,hochberg,200,190,1.0,0.2,28,162,0.1,300,2.1233333333333335,17.29,159.87666666666667,10.71,0.26,0.0033333333333333335
22,pearson,hochberg,200,190,0.0,0.4,105,85,0.1,300,11.106666666666667,73.68333333333334,73.89333333333333,31.316666666666666,0.02,0.0
23,pearson,hochberg,200,190,0.1,0.4,105,85,0.1,300,9.75,71.69666666666667,75.25,33.303333333333335,0.04666666666666667,0.0
24,pearson,hochberg,200,190,0.2,0.4,105,85,0.1,300,9.906666666666666,72.9,75.09333333333333,32.1,0.043333333333333335,0.0
25,pearson,hochberg,200,190,0.30000000000000004,0.4,105,85,0.1,300,8.6,73.19666666666667,76.4,31.803333333333335,0.056666666666666664,0.0
26,pearson,hochberg,200,190,0.4,0.4,105,85,0.1,300,9.29,71.9,75.71,33.1,0.06666666666666667,0.0
27,pearson,hochberg,200,190,0.5,0.4,105,85,0.1,300,9.173333333333334,72.65666666666667,75.82666666666667,32.343333333333334,0.056666666666666664,0.0
28,pearson,hochberg,200,190,0.6000000000000001,0.4,105,85,0.1,300,8.926666666666666,71.91,76.07333333333334,33.09,0.05333333333333334,0.0
29,pearson,hochberg,200,190,0.7000000000000001,0.4,105,85,0.1,300,7.286666666666667,73.21666666666667,77.71333333333334,31.783333333333335,0.06333333333333334,0.0
