,tester,correction,sample_size,ntests,bp,th,EP,EN,slvl,nrepeats,FP,TP,TN,FN,P(FP=0),P(FN=0)
0,sign,None,200,190,0.0,0.0,0,190,0.1,300,0.3933333333333333,0.0,189.60666666666665,0.0,0.7333333333333333,1.0
1,sign,None,200,190,0.1,0.0,0,190,0.1,300,0.5266666666666666,0.0,189.47333333333333,0.0,0.66,1.0
2,sign,None,200,190,0.2,0.0,0,190,0.1,300,0.49666666666666665,0.0,189.50333333333333,0.0,0.6433333333333333,1.0
3,sign,None,200,190,0.30000000000000004,0.0,0,190,0.1,300,0.43333333333333335,0.0,189.56666666666666,0.0,0.7166666666666667,1.0
4,sign,None,200,190,0.4,0.0,0,190,0.1,300,0.5033333333333333,0.0,189.49666666666667,0.0,0.66,1.0
5,sign,None,200,190,0.5,0.0,0,190,0.1,300,0.36666666666666664,0.0,189.63333333333333,0.0,0.71,1.0
6,sign,None,200,190,0.6000000000000001,0.0,0,190,0.1,300,0.38333333333333336,0.0,189.61666666666667,0.0,0.7,1.0
7,sign,None,200,190,0.7000000000000001,0.0,0,190,0.1,300,0.44666666666666666,0.0,189.55333333333334,0.0,0.7033333333333334,1.0
8,sign,None,200,190,0.8,0.0,0,190,0.1,300,0.45666666666666667,0.0,189.54333333333332,0.0,0.6966666666666667,1.0
9,sign,None,200,190,0.9,0.0,0,190,0.1,300,0.59,0.0,189.41,0.0,0.6266666666666667,1.0
10,sign,None,200,190,1.0,0.0,0,190,0.1,300,0.45,0.0,189.55,0.0,0.7166666666666667,1.0
11,sign,None,200,190,0.0,0.2,28,162,0.1,300,1.2733333333333334,8.726666666666667,160.72666666666666,19.273333333333333,0.38333333333333336,0.0
12,sign,None,200,190,0.1,0.2,28,162,0.1,300,1.2166666666666666,8.58,160.78333333333333,19.42,0.39666666666666667,0.0
13,sign,None,200,190,0.2,0.2,28,162,0.1,300,1.3533333333333333,8.743333333333334,160.64666666666668,19.256666666666668,0.39,0.0
14,sign,None,200,190,0.30000000000000004,0.2,28,162,0.1,300,1.42,8.663333333333334,160.58,19.336666666666666,0.4033333333333333,0.0
15,sign,None,200,190,0.4,0.2,28,162,0.1,300,1.3533333333333333,8.336666666666666,160.64666666666668,19.663333333333334,0.39,0.0
16,sign,None,200,190,0.5,0.2,28,162,0.1,300,1.31,8.49,160.69,19.51,0.42,0.0
17,sign,None,200,190,0.6000000000000001,0.2,28,162,0.1,300,1.3266666666666667,8.796666666666667,160.67333333333335,19.203333333333333,0.38,0.0
18,sign,None,200,190,0.7000000000000001,0.2,28,162,0.1,300,1.51,8.853333333333333,160.49,19.14666666666667,0.36666666666666664,0.0
19,sign,None,200,190,0.8,0.2,28,162,0.1,300,1.34,8.643333333333333,160.66,19.356666666666666,0.37333333333333335,0.0
20,sign,None,200,190,0.9,0.2,28,162,0.1,300,1.3333333333333333,8.83,160.66666666666666,19.17,0.38,0.0
21,sign,None,200,190,1.0,0.2,28,162,0.1,300,1.51,8.696666666666667,160.49,19.303333333333335,0.35,0.0
22,sign,None,200,190,0.0,0.4,105,85,0.1,300,1.17,48.38333333333333,83.83,56.61666666666667,0.4166666666666667,0.0
