,tester,correction,sample_size,ntests,bp,th,EP,EN,slvl,nrepeats,FP,TP,TN,FN,P(FP=0),P(FN=0)
0,sign,bonferroni,200,190,0.0,0.0,0,190,0.1,300,0.0,0.0,190.0,0.0,1.0,1.0
1,sign,bonferroni,200,190,0.1,0.0,0,190,0.1,300,0.0033333333333333335,0.0,189.99666666666667,0.0,0.9966666666666667,1.0
2,sign,bonferroni,200,190,0.2,0.0,0,190,0.1,300,0.0,0.0,190.0,0.0,1.0,1.0
3,sign,bonferroni,200,190,0.30000000000000004,0.0,0,190,0.1,300,0.0,0.0,190.0,0.0,1.0,1.0
4,sign,bonferroni,200,190,0.4,0.0,0,190,0.1,300,0.0,0.0,190.0,0.0,1.0,1.0
5,sign,bonferroni,200,190,0.5,0.0,0,190,0.1,300,0.0,0.0,190.0,0.0,1.0,1.0
6,sign,bonferroni,200,190,0.6000000000000001,0.0,0,190,0.1,300,0.0,0.0,190.0,0.0,1.0,1.0
7,sign,bonferroni,200,190,0.7000000000000001,0.0,0,190,0.1,300,0.0033333333333333335,0.0,189.99666666666667,0.0,0.9966666666666667,1.0
8,sign,bonferroni,200,190,0.8,0.0,0,190,0.1,300,0.0,0.0,190.0,0.0,1.0,1.0
9,sign,bonferroni,200,190,0.9,0.0,0,190,0.1,300,0.006666666666666667,0.0,189.99333333333334,0.0,0.9933333333333333,1.0
10,sign,bonferroni,200,190,1.0,0.0,0,190,0.1,300,0.0,0.0,190.0,0.0,1.0,1.0
11,sign,bonferroni,200,190,0.0,0.2,28,162,0.1,300,0.0,0.2633333333333333,162.0,27.736666666666668,1.0,0.0
12,sign,bonferroni,200,190,0.1,0.2,28,162,0.1,300,0.0,0.34,162.0,27.66,1.0,0.0
13,sign,bonferroni,200,190,0.2,0.2,28,162,0.1,300,0.0,0.35,162.0,27.65,1.0,0.0
14,sign,bonferroni,200,190,0.30000000000000004,0.2,28,162,0.1,300,0.0,0.35333333333333333,162.0,27.64666666666667,1.0,0.0
15,sign,bonferroni,200,190,0.4,0.2,28,162,0.1,300,0.006666666666666667,0.36,161.99333333333334,27.64,0.9933333333333333,0.0
16,sign,bonferroni,200,190,0.5,0.2,28,162,0.1,300,0.006666666666666667,0.33,161.99333333333334,27.67,0.9933333333333333,0.0
17,sign,bonferroni,200,190,0.6000000000000001,0.2,28,162,0.1,300,0.01,0.4166666666666667,161.99,27.583333333333332,0.9933333333333333,0.0
18,sign,bonferroni,200,190,0.7000000000000001,0.2,28,162,0.1,300,0.01,0.41,161.99,27.59,0.99,0.0
19,sign,bonferroni,200,190,0.8,0.2,28,162,0.1,300,0.006666666666666667,0.31333333333333335,161.99333333333334,27.686666666666667,0.9933333333333333,0.0
20,sign,bonferroni,200,190,0.9,0.2,28,162,0.1,300,0.0033333333333333335,0.41,161.99666666666667,27.59,0.9966666666666667,0.0
21,sign,bonferroni,200,190,1.0,0.2,28,162,0.1,300,0.0033333333333333335,0.2866666666666667,161.99666666666667,27.713333333333335,0.9966666666666667,0.0
22,sign,bonferroni,200,190,0.0,0.4,105,85,0.1,300,0.01,8.39,84.99,96.61,0.99,0.0
23,sign,bonferroni,200,190,0.1,0.4,105,85,0.1,300,0.0,8.643333333333333,85.0,96.35666666666667,1.0,0.0
24,sign,bonferroni,200,190,0.2,0.4,105,85,0.1,300,0.0,8.03,85.0,96.97,1.0,0.0
