,tester,correction,sample_size,ntests,bp,th,EP,EN,slvl,nrepeats,FP,TP,TN,FN,P(FP=0),P(FN=0)
0,sign,holm,200,190,0.0,0.0,0,190,0.1,300,0.0,0.0,190.0,0.0,1.0,1.0
1,sign,holm,200,190,0.1,0.0,0,190,0.1,300,0.0033333333333333335,0.0,189.99666666666667,0.0,0.9966666666666667,1.0
2,sign,holm,200,190,0.2,0.0,0,190,0.1,300,0.0,0.0,190.0,0.0,1.0,1.0
3,sign,holm,200,190,0.30000000000000004,0.0,0,190,0.1,300,0.0033333333333333335,0.0,189.99666666666667,0.0,0.9966666666666667,1.0
4,sign,holm,200,190,0.4,0.0,0,190,0.1,300,0.0,0.0,190.0,0.0,1.0,1.0
5,sign,holm,200,190,0.5,0.0,0,190,0.1,300,0.0,0.0,190.0,0.0,1.0,1.0
6,sign,holm,200,190,0.6000000000000001,0.0,0,190,0.1,300,0.0,0.0,190.0,0.0,1.0,1.0
7,sign,holm,200,190,0.7000000000000001,0.0,0,190,0.1,300,0.0,0.0,190.0,0.0,1.0,1.0
8,sign,holm,200,190,0.8,0.0,0,190,0.1,300,0.0,0.0,190.0,0.0,1.0,1.0
9,sign,holm,200,190,0.9,0.0,0,190,0.1,300,0.0033333333333333335,0.0,189.99666666666667,0.0,0.9966666666666667,1.0
10,sign,holm,200,190,1.0,0.0,0,190,0.1,300,0.0,0.0,190.0,0.0,1.0,1.0
11,sign,holm,200,190,0.0,0.2,28,162,0.1,300,0.0033333333333333335,0.2966666666666667,161.99666666666667,27.703333333333333,0.9966666666666667,0.0
12,sign,holm,200,190,0.1,0.2,28,162,0.1,300,0.0033333333333333335,0.29,161.99666666666667,27.71,0.9966666666666667,0.0
13,sign,holm,200,190,0.2,0.2,28,162,0.1,300,0.0,0.39666666666666667,162.0,27.60333333333333,1.0,0.0
14,sign,holm,200,190,0.30000000000000004,0.2,28,162,0.1,300,0.0033333333333333335,0.3,161.99666666666667,27.7,0.9966666666666667,0.0
15,sign,holm,200,190,0.4,0.2,28,162,0.1,300,0.0,0.43,162.0,27.57,1.0,0.0
16,sign,holm,200,190,0.5,0.2,28,162,0.1,300,0.0033333333333333335,0.31,161.99666666666667,27.69,0.9966666666666667,0.0
17,sign,holm,200,190,0.6000000000000001,0.2,28,162,0.1,300,0.0033333333333333335,0.27666666666666667,161.99666666666667,27.723333333333333,0.9966666666666667,0.0
18,sign,holm,200,190,0.7000000000000001,0.2,28,162,0.1,300,0.0,0.28,162.0,27.72,1.0,0.0
19,sign,holm,200,190,0.8,0.2,28,162,0.1,300,0.013333333333333334,0.39,161.98666666666668,27.61,0.9866666666666667,0.0
20,sign,holm,200,190,0.9,0.2,28,162,0.1,300,0.006666666666666667,0.27666666666666667,161.99333333333334,27.723333333333333,0.9933333333333333,0.0
21,sign,holm,200,190,1.0,0.2,28,162,0.1,300,0.01,0.3,161.99,27.7,0.99,0.0
22,sign,holm,200,190,0.0,0.4,105,85,0.1,300,0.01,7.996666666666667,84.99,97.00333333333333,0.99,0.0
23,sign,holm,200,190,0.1,0.4,105,85,0.1,300,0.0,8.106666666666667,85.0,96.89333333333333,1.0,0.0
24,sign,holm,200,190,0.2,0.4,105,85,0.1,300,0.006666666666666667,8.96,84.99333333333334,96.04,0.9933333333333333,0.0
25,sign,holm,200,190,0.30000000000000004,0.4,105,85,0.1,300,0.0,7.883333333333334,85.0,97.11666666666666,1.0,0.0
26,sign,holm,200,190,0.4,0.4,105,85,0.1,300,0.0033333333333333335,8.606666666666667,84.99666666666667,96.39333333333333,0.9966666666666667,0.0
27,sign,holm,200,190,0.5,0.4,105,85,0.1,300,0.0033333333333333335,8.233333333333333,84.99666666666667,96.76666666666667,0.9966666666666667,0.0
28,sign,holm,200,190,0.6000000000000001,0.4,105,85,0.1,300,0.006666666666666667,8.113333333333333,84.99333333333334,96.88666666666667,0.9933333333333333,0.0
29,sign,holm,200,190,0.7000000000000001,0.4,105,85,0.1,300,0.0033333333333333335,8.38,84.99666666666667,96.62,0.9966666666666667,0.0
30,sign,holm,200,190,0.8,0.4,105,85,0.1,300,0.0033333333333333335,8.52,84.99666666666667,96.48,0.9966666666666667,0.0
31,sign,holm,200,190,0.9,0.4,105,85,0.1,300,0.0,8.583333333333334,85.0,96.41666666666667,1.0,0.0
32,sign,holm,200,190,1.0,0.4,105,85,0.1,300,0.0033333333333333335,8.63,84.99666666666667,96.37,0.9966666666666667,0.0
33,sign,holm,200,190,0.0,0.6,165,25,0.1,300,0.0,60.00333333333333,25.0,104.99666666666667,1.0,0.0
34,sign,holm,200,190,0.1,0.6,165,25,0.1,300,0.0,58.75,25.0,106.25,1.0,0.0
35,sign,holm,200,190,0.2,0.6,165,25,0.1,300,0.0033333333333333335,58.99,24.996666666666666,106.01,0.9966666666666667,0.0
36,sign,holm,200,190,0.30000000000000004,0.6,165,25,0.1,300,0.0,59.06333333333333,25.0,105.93666666666667,1.0,0.0
37,sign,holm,200,190,0.4,0.6,165,25,0.1,300,0.0033333333333333335,59.27333333333333,24.996666666666666,105.72666666666667,0.9966666666666667,0.0
38,sign,holm,200,190,0.5,0.6,165,25,0.1,300,0.0,59.46666666666667,25.0,105.53333333333333,1.0,0.0
39,sign,holm,200,190,0.6000000000000001,0.6,165,25,0.1,300,0.0,60.54666666666667,25.0,104.45333333333333,1.0,0.0
40,sign,holm,200,190,0.7000000000000001,0.6,165,25,0.1,300,0.0,59.233333333333334,25.0,105.76666666666667,1.0,0.0
41,sign,holm,200,190,0.8,0.6,165,25,0.1,300,0.0,60.68333333333333,25.0,104.31666666666666,1.0,0.0
42,sign,holm,200,190,0.9,0.6,165,25,0.1,300,0.0033333333333333335,58.53666666666667,24.996666666666666,106.46333333333334,0.9966666666666667,0.0
43,sign,holm,200,190,1.0,0.6,165,25,0.1,300,0.0033333333333333335,59.723333333333336,24.996666666666666,105.27666666666667,0.9966666666666667,0.0
44,sign,holm,200,190,0.0,1.0,190,0,0.1,300,0.0,190.0,0.0,0.0,1.0,1.0
45,sign,holm,200,190,0.1,1.0,190,0,0.1,300,0.0,190.0,0.0,0.0,1.0,1.0
46,sign,holm,200,190,0.2,1.0,190,0,0.1,300,0.0,190.0,0.0,0.0,1.0,1.0
47,sign,holm,200,190,0.30000000000000004,1.0,190,0,0.1,300,0.0,190.0,0.0,0.0,1.0,1.0
48,sign,holm,200,190,0.4,1.0,190,0,0.1,300,0.0,190.0,0.0,0.0,1.0,1.0
49,sign,holm,200,190,0.5,1.0,190,0,0.1,300,0.0,190.0,0.0,0.0,1.0,1.0
50,sign,holm,200,190,0.6000000000000001,1.0,190,0,0.1,300,0.0,190.0,0.0,0.0,1.0,1.0
51,sign,holm,200,190,0.7000000000000001,1.0,190,0,0.1,300,0.0,190.0,0.0,0.0,1.0,1.0
52,sign,holm,200,190,0.8,1.0,190,0,0.1,300,0.0,190.0,0.0,0.0,1.0,1.0
53,sign,holm,200,190,0.9,1.0,190,0,0.1,300,0.0,190.0,0.0,0.0,1.0,1.0
54,sign,holm,200,190,1.0,1.0,190,0,0.1,300,0.0,190.0,0.0,0.0,1.0,1.0
